,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.25548563003540037,0.010970413561207423,0.0032500743865966795,0.0001046603142750862,sqrt,2,50,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.6521739130434783,0.6352941176470589,0.5684210526315789,0.6352941176470589,0.6593406593406594,0.6301047720619669,0.03225065564172019,3
1,0.5394867897033692,0.007766360082225776,0.005476760864257813,9.070608443187812e-05,sqrt,2,100,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.6000000000000001,0.6506024096385542,0.5652173913043477,0.627906976744186,0.7311827956989247,0.6349819146772026,0.05592760891522877,1
2,0.6939868927001953,0.012142552653965393,0.007875490188598632,0.00023024606441980971,sqrt,2,150,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}",0.6000000000000001,0.6428571428571429,0.5168539325842696,0.6190476190476191,0.7311827956989247,0.6219882980375913,0.06914378445876114,7
3,0.2285541534423828,0.002945185209839521,0.0031758785247802735,2.3378932470302567e-05,sqrt,4,50,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",0.6236559139784946,0.6516853932584269,0.5161290322580646,0.5952380952380952,0.7111111111111111,0.6195639091688385,0.06437381985229595,8
4,0.4543503761291504,0.004633839351251598,0.00541839599609375,1.011367003786916e-05,sqrt,4,100,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.6000000000000001,0.6666666666666665,0.5333333333333333,0.6172839506172839,0.7472527472527474,0.6329073395740062,0.07135338873819,2
5,0.6834250450134277,0.005162090640380313,0.00776982307434082,0.0002383323513505623,sqrt,4,150,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 150}",0.6373626373626374,0.7111111111111111,0.5168539325842696,0.5679012345679013,0.7111111111111111,0.6288680053474062,0.07728404143244588,5
6,0.08922834396362304,0.0004470360285425169,0.003264760971069336,5.3335595017687794e-05,log2,2,50,"{'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.6170212765957446,0.6666666666666665,0.48888888888888893,0.5454545454545454,0.7045454545454546,0.60451536643026,0.07859117421368293,10
7,0.17638130187988282,0.000818309712470543,0.005585956573486328,7.012804384275464e-05,log2,2,100,"{'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.5869565217391305,0.5714285714285713,0.5,0.5609756097560976,0.6976744186046512,0.58340702430569,0.0643008860397106,12
8,0.2644975185394287,0.001694278442895459,0.00813918113708496,0.0004145338082956484,log2,2,150,"{'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 150}",0.5869565217391305,0.5952380952380952,0.5111111111111111,0.575,0.7272727272727272,0.5991156910722129,0.07058821392561741,11
9,0.0885934829711914,0.00041311799301335455,0.00328826904296875,5.820441630380324e-05,log2,4,50,"{'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 50}",0.5934065934065934,0.702127659574468,0.5000000000000001,0.6024096385542169,0.7472527472527474,0.6290393277576051,0.08711635553561657,4
10,0.17520666122436523,0.0006259257587127181,0.0055748939514160155,4.411746246225669e-05,log2,4,100,"{'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}",0.6153846153846154,0.6516853932584269,0.5227272727272727,0.625,0.6966292134831461,0.6222852989706922,0.05719820415761639,6
11,0.262652587890625,0.0016295703999656633,0.007874059677124023,5.509819833710423e-05,log2,4,150,"{'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 150}",0.6086956521739131,0.627906976744186,0.5227272727272727,0.5897435897435898,0.717391304347826,0.6132929591473576,0.06297282996858353,9
