,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
235,0.09655418395996093,0.0007995146221110371,0.023528671264648436,0.0004228879904156767,10,ovr,5,auto,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
234,0.09715752601623535,0.0006379559663803908,0.03495697975158692,0.000156953136322249,10,ovr,5,auto,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
233,0.09458518028259277,0.0008429000150510312,0.023119020462036132,0.00019209859411783666,10,ovr,5,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
232,0.09474616050720215,0.0009854549497318918,0.02315206527709961,0.0004452716872722732,10,ovr,5,auto,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
231,0.09982151985168457,0.0013622370396224588,0.02361440658569336,0.00025397015826723136,10,ovr,3,scale,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
220,0.09427533149719239,0.0007641717019442883,0.023044252395629884,0.0004800984104645433,10,ovo,20,scale,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
230,0.09959664344787597,0.0016102004646242644,0.035658073425292966,0.000529726303351349,10,ovr,3,scale,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
228,0.09565815925598145,0.0013934087968609284,0.02328357696533203,0.0003880765394488213,10,ovr,3,scale,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
227,0.09589004516601562,0.00042290093190550587,0.02332615852355957,0.0002810929769866635,10,ovr,3,auto,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
226,0.09699740409851074,0.0004072368168979876,0.03501043319702148,0.00016298658178290137,10,ovr,3,auto,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
225,0.09526996612548828,0.0008507307104389518,0.023337173461914062,0.0004206786589367595,10,ovr,3,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
224,0.09441580772399902,0.0010176866660799413,0.023099231719970702,0.0003820526140122072,10,ovr,3,auto,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
223,0.09801573753356933,0.0004744680057233397,0.02360506057739258,0.00038716535760008217,10,ovo,20,scale,sigmoid,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
222,0.09852833747863769,0.0008260804657976664,0.03536405563354492,0.00030342683464016235,10,ovo,20,scale,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
229,0.09579496383666992,0.0016885631880858337,0.023473834991455077,0.0005126622317418849,10,ovr,3,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
238,0.09856343269348145,0.00111604462674003,0.03538422584533692,0.0006273131885158229,10,ovr,5,scale,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
200,0.09320216178894043,0.0006226388065003067,0.022870683670043947,0.0002878171312114214,10,ovo,5,auto,linear,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
198,0.0966641902923584,0.00016374014520572326,0.03479461669921875,0.00010918461022753302,10,ovo,3,scale,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
177,0.09376211166381836,0.0010408121648406085,0.02296786308288574,0.00012079202900996607,1,ovr,10,auto,poly,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
176,0.09406042098999023,0.0004930277852769758,0.023094987869262694,0.0002822268829907962,1,ovr,10,auto,linear,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
175,0.09619932174682617,0.0004840676099360788,0.023498058319091797,0.00027793549095319145,1,ovr,5,scale,sigmoid,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
174,0.09876885414123535,0.001763803371624308,0.03555164337158203,0.0006999319095696246,1,ovr,5,scale,rbf,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
173,0.09710183143615722,0.0015175938508407679,0.023322391510009765,0.0002119685394477806,1,ovr,5,scale,poly,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
172,0.09535708427429199,0.0016023699647699074,0.023245525360107423,0.00034242450908276886,1,ovr,5,scale,linear,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
171,0.09471340179443359,0.0001665009525820517,0.023191308975219725,9.201358498191838e-05,1,ovr,5,auto,sigmoid,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
178,0.09736948013305664,0.0007614729824426017,0.03518867492675781,0.0004000906431092312,1,ovr,10,auto,rbf,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 10, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
170,0.09770355224609376,0.00043220677842662625,0.03524813652038574,0.00035585177303744153,1,ovr,5,auto,rbf,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
168,0.09370999336242676,0.0010267547792534699,0.022931957244873048,8.122226418352301e-05,1,ovr,5,auto,linear,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
167,0.09680156707763672,0.002125331397414643,0.023342132568359375,0.00029615246121360056,1,ovr,3,scale,sigmoid,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
166,0.0963099479675293,0.00021233641643349143,0.03502922058105469,0.000317236016442187,1,ovr,3,scale,rbf,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
165,0.0936814308166504,0.0003296366893956862,0.022940397262573242,0.0002853946278454671,1,ovr,3,scale,poly,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
164,0.0939021110534668,0.0007586530586946101,0.02284417152404785,0.0001441470605800199,1,ovr,3,scale,linear,"{'svc__C': 1, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
