,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9,1.058662223815918,0.6077366933064616,0.0017263412475585938,0.00027409441854701303,relu,0.0001,"(100,)",constant,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.4444444444444445,0.4528301886792452,0.4301075268817204,0.5,0.5517241379310344,0.4758212595872888,0.04460649651495571,1
11,1.1872781276702882,0.7436778581062975,0.0019449710845947266,0.00048302722463441325,relu,0.0001,"(100,)",adaptive,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.4444444444444445,0.4528301886792452,0.4301075268817204,0.5,0.5517241379310344,0.4758212595872888,0.04460649651495571,1
10,1.1049654483795166,0.7757896627171954,0.0014087200164794923,3.420873774087856e-05,relu,0.0001,"(100,)",invscaling,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling'}",0.4444444444444445,0.4528301886792452,0.4301075268817204,0.5,0.5517241379310344,0.4758212595872888,0.04460649651495571,1
0,1.052138328552246,0.602232176233763,0.0014605998992919921,0.00010138935020706555,relu,1e-06,"(100,)",constant,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.4444444444444445,0.44660194174757284,0.4301075268817204,0.495049504950495,0.5517241379310344,0.4735855111910534,0.0447973167222312,4
2,1.240244197845459,0.7289142891696423,0.002215576171875,0.0011710957070150084,relu,1e-06,"(100,)",adaptive,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.4444444444444445,0.44660194174757284,0.4301075268817204,0.495049504950495,0.5517241379310344,0.4735855111910534,0.0447973167222312,4
1,1.1448523998260498,0.7478974073147083,0.0019688129425048826,0.0009267690814464167,relu,1e-06,"(100,)",invscaling,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling'}",0.4444444444444445,0.44660194174757284,0.4301075268817204,0.495049504950495,0.5517241379310344,0.4735855111910534,0.0447973167222312,4
18,1.0620298385620117,0.6067204540119323,0.0015470027923583985,0.00037550181729641835,relu,0.01,"(100,)",constant,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.4444444444444445,0.4509803921568628,0.4301075268817204,0.49019607843137253,0.5517241379310344,0.47349051596908687,0.04389086262464455,7
20,1.112625789642334,0.5963192041872893,0.0016211986541748047,0.00048091762343911856,relu,0.01,"(100,)",adaptive,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.4444444444444445,0.4509803921568628,0.4301075268817204,0.49019607843137253,0.5517241379310344,0.47349051596908687,0.04389086262464455,7
19,1.0774973392486573,0.5909327588898118,0.001468992233276367,0.00022433572258955385,relu,0.01,"(100,)",invscaling,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling'}",0.4444444444444445,0.4509803921568628,0.4301075268817204,0.49019607843137253,0.5517241379310344,0.47349051596908687,0.04389086262464455,7
12,1.1080882549285889,0.4970880495959218,0.0015592098236083985,0.0005094107712631536,relu,0.0001,"(50,)",constant,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.4044943820224719,0.47619047619047616,0.5,0.37681159420289856,0.38709677419354843,0.42891864532187907,0.04969495607253434,10
13,0.7427656173706054,0.3822185322111318,0.0033249855041503906,0.003501184213141516,relu,0.0001,"(50,)",invscaling,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling'}",0.4044943820224719,0.47619047619047616,0.5,0.37681159420289856,0.38709677419354843,0.42891864532187907,0.04969495607253434,10
14,0.6859045028686523,0.3540139589473951,0.0012099266052246094,6.098659640019161e-05,relu,0.0001,"(50,)",adaptive,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.4044943820224719,0.47619047619047616,0.5,0.37681159420289856,0.38709677419354843,0.42891864532187907,0.04969495607253434,10
4,0.8631618022918701,0.4765626436313894,0.004125785827636719,0.00555764321226276,relu,1e-06,"(50,)",invscaling,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50,), 'learning_rate': 'invscaling'}",0.39080459770114945,0.48598130841121495,0.5,0.3888888888888889,0.3736263736263737,0.4278602337255254,0.05369432495442465,13
5,0.9042104244232178,0.5042246621471684,0.0016042232513427735,0.0005246799964561653,relu,1e-06,"(50,)",adaptive,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.39080459770114945,0.48598130841121495,0.5,0.3888888888888889,0.3736263736263737,0.4278602337255254,0.05369432495442465,13
3,0.9152023792266846,0.41389153894678843,0.0013803958892822266,0.0003582909286515469,relu,1e-06,"(50,)",constant,"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.39080459770114945,0.48598130841121495,0.5,0.3888888888888889,0.3736263736263737,0.4278602337255254,0.05369432495442465,13
