,fit_time,score_time,test_accuracy,test_f1
0,0.7577979564666748,0.005293130874633789,0.717948717948718,0.6451612903225806
1,0.7600057125091553,0.005256175994873047,0.7435897435897436,0.6153846153846154
2,0.7412869930267334,0.005106925964355469,0.8461538461538461,0.8333333333333334
3,0.7519598007202148,0.0050809383392333984,0.7435897435897436,0.6428571428571429
4,0.7382659912109375,0.005105018615722656,0.717948717948718,0.6206896551724138
5,0.7487680912017822,0.005297183990478516,0.8461538461538461,0.7999999999999999
6,0.7514538764953613,0.005270242691040039,0.7692307692307693,0.6666666666666666
7,0.7528030872344971,0.005378007888793945,0.6923076923076923,0.6000000000000001
8,0.7494027614593506,0.00524592399597168,0.6666666666666666,0.43478260869565216
9,0.7390120029449463,0.005033969879150391,0.7948717948717948,0.6923076923076923
10,0.7454009056091309,0.005273103713989258,0.6923076923076923,0.5384615384615384
11,0.7407143115997314,0.00499272346496582,0.7692307692307693,0.7272727272727272
12,0.7399270534515381,0.004911899566650391,0.7948717948717948,0.7333333333333334
13,0.7409048080444336,0.005167245864868164,0.6578947368421053,0.5185185185185185
14,0.7352938652038574,0.005068063735961914,0.6842105263157895,0.5
15,0.7392358779907227,0.005498170852661133,0.8947368421052632,0.875
16,0.7582237720489502,0.00516510009765625,0.6842105263157895,0.625
17,0.7487568855285645,0.005213260650634766,0.7105263157894737,0.5925925925925926
18,0.7529008388519287,0.005146026611328125,0.5526315789473685,0.32
19,0.7553369998931885,0.005193948745727539,0.7631578947368421,0.6666666666666666
