,fit_time,score_time,test_mild_acc,test_mild_f1,test_severe_acc,test_severe_f1,test_accuracy,test_f1
0,0.5843088626861572,0.0046617984771728516,0.9629629629629629,0.8571428571428571,1.0,1.0,0.9743589743589743,0.967741935483871
1,0.581852912902832,0.0044558048248291016,0.92,0.5,1.0,1.0,0.9487179487179487,0.9375
2,0.5886662006378174,0.004408836364746094,0.9666666666666667,0.923076923076923,1.0,1.0,0.9743589743589743,0.967741935483871
3,0.5470988750457764,0.004273891448974609,0.9032258064516129,0.7692307692307693,1.0,1.0,0.9230769230769231,0.896551724137931
4,0.5520377159118652,0.004268169403076172,0.9642857142857143,0.888888888888889,1.0,1.0,0.9743589743589743,0.967741935483871
5,0.5797960758209229,0.004251956939697266,0.9629629629629629,0.8571428571428571,1.0,1.0,0.9743589743589743,0.967741935483871
6,0.5686488151550293,0.004300117492675781,0.967741935483871,0.9333333333333333,1.0,1.0,0.9743589743589743,0.967741935483871
7,0.5629973411560059,0.00426483154296875,0.9666666666666667,0.923076923076923,1.0,1.0,0.9743589743589743,0.967741935483871
8,0.5857410430908203,0.004374980926513672,0.9629629629629629,0.888888888888889,1.0,1.0,0.9743589743589743,0.9696969696969697
9,0.5454010963439941,0.004251003265380859,0.9642857142857143,0.888888888888889,1.0,1.0,0.9743589743589743,0.967741935483871
10,0.5786590576171875,0.004236698150634766,1.0,1.0,1.0,1.0,1.0,1.0
11,0.5658590793609619,0.004492998123168945,0.896551724137931,0.6666666666666666,1.0,1.0,0.9230769230769231,0.896551724137931
12,0.5704798698425293,0.004389047622680664,1.0,1.0,1.0,1.0,1.0,1.0
13,0.5628857612609863,0.004248142242431641,1.0,1.0,1.0,1.0,1.0,1.0
14,0.5489068031311035,0.0042572021484375,1.0,1.0,1.0,1.0,1.0,1.0
15,0.5618178844451904,0.004395961761474609,1.0,1.0,1.0,1.0,1.0,1.0
16,0.5741682052612305,0.0043027400970458984,0.9615384615384616,0.8571428571428571,1.0,1.0,0.9736842105263158,0.967741935483871
17,0.5783250331878662,0.0043430328369140625,0.9642857142857143,0.9090909090909091,1.0,1.0,0.9736842105263158,0.967741935483871
18,0.5690670013427734,0.004235982894897461,1.0,1.0,1.0,1.0,1.0,1.0
19,0.5408840179443359,0.004282951354980469,0.9615384615384616,0.8571428571428571,1.0,1.0,0.9736842105263158,0.967741935483871
