,fit_time,score_time,test_male_acc,test_male_f1,test_female_acc,test_female_f1,test_accuracy,test_f1
0,0.09420084953308105,0.0022940635681152344,0.8181818181818182,0.8571428571428571,0.4444444444444444,0.5161290322580644,0.5641025641025641,0.6382978723404255
1,0.142866849899292,0.003119230270385742,0.7058823529411765,0.761904761904762,0.55,0.5714285714285715,0.6153846153846154,0.6666666666666667
2,0.09617996215820312,0.002351045608520508,0.6470588235294118,0.7272727272727272,0.5789473684210527,0.5555555555555556,0.5897435897435898,0.6363636363636364
3,0.09296274185180664,0.0024192333221435547,0.625,0.7000000000000001,0.3684210526315789,0.4,0.48717948717948717,0.5652173913043479
4,0.13718557357788086,0.004958391189575195,0.6470588235294118,0.6666666666666666,0.75,0.782608695652174,0.6666666666666666,0.6976744186046512
5,0.11921501159667969,0.002321004867553711,0.6111111111111112,0.6956521739130435,0.3888888888888889,0.4210526315789473,0.48717948717948717,0.5652173913043479
6,0.10054993629455566,0.004441022872924805,0.6428571428571429,0.7368421052631579,0.5,0.5,0.5384615384615384,0.5909090909090908
7,0.09306883811950684,0.002337932586669922,0.6153846153846154,0.7368421052631579,0.52,0.5,0.5641025641025641,0.6222222222222222
8,0.09347701072692871,0.0025298595428466797,0.5789473684210527,0.6666666666666666,0.35,0.3157894736842105,0.46153846153846156,0.5116279069767441
9,0.09912395477294922,0.003226041793823242,0.6666666666666666,0.625,0.631578947368421,0.6666666666666666,0.6410256410256411,0.65
10,0.14379024505615234,0.0034186840057373047,0.5263157894736842,0.64,0.5,0.5,0.5128205128205128,0.5777777777777777
11,0.09517192840576172,0.0036420822143554688,0.5333333333333333,0.6666666666666666,0.6190476190476191,0.5555555555555556,0.6153846153846154,0.6666666666666667
12,0.09248495101928711,0.0028429031372070312,0.5238095238095238,0.6428571428571429,0.29411764705882354,0.45454545454545453,0.41025641025641024,0.5490196078431373
13,0.08683395385742188,0.0043621063232421875,0.6363636363636364,0.6666666666666666,0.4230769230769231,0.5161290322580645,0.47368421052631576,0.5454545454545454
14,0.09370875358581543,0.004070281982421875,0.45454545454545453,0.4,0.6296296296296297,0.6666666666666667,0.5789473684210527,0.6
15,0.08743500709533691,0.004330158233642578,0.7,0.7692307692307693,0.3888888888888889,0.5217391304347826,0.5526315789473685,0.653061224489796
16,0.09365510940551758,0.0023102760314941406,0.75,0.8333333333333333,0.35,0.38095238095238093,0.5263157894736842,0.625
17,0.0924527645111084,0.004560232162475586,0.9090909090909091,0.923076923076923,0.4230769230769231,0.48275862068965514,0.5789473684210527,0.6363636363636364
18,0.08652806282043457,0.004487276077270508,0.5333333333333333,0.631578947368421,0.4090909090909091,0.48,0.4473684210526316,0.5333333333333333
19,0.09525203704833984,0.002193927764892578,0.42105263157894735,0.4210526315789474,0.7058823529411765,0.7058823529411764,0.5263157894736842,0.5263157894736842
