,fit_time,score_time,test_accuracy,test_f1
0,0.17894506454467773,0.00102996826171875,0.6666666666666666,0.6060606060606061
1,0.20174622535705566,0.0023217201232910156,0.5897435897435898,0.4666666666666667
2,0.17634892463684082,0.0018928050994873047,0.6923076923076923,0.5714285714285715
3,0.1771998405456543,0.0009591579437255859,0.6410256410256411,0.5333333333333333
4,0.15665197372436523,0.0009229183197021484,0.5128205128205128,0.38709677419354843
5,0.19902801513671875,0.001039266586303711,0.28205128205128205,0.17647058823529413
6,0.2868530750274658,0.0010170936584472656,0.5384615384615384,0.39999999999999997
7,0.27968716621398926,0.0010178089141845703,0.5384615384615384,0.47058823529411764
8,0.2588632106781006,0.0026988983154296875,0.5384615384615384,0.47058823529411764
9,0.21634817123413086,0.0010197162628173828,0.6153846153846154,0.4827586206896552
10,0.2755622863769531,0.0009911060333251953,0.48717948717948717,0.375
11,0.20245790481567383,0.0013718605041503906,0.6153846153846154,0.5161290322580646
12,0.21913695335388184,0.0010120868682861328,0.46153846153846156,0.46153846153846156
13,0.16927790641784668,0.0012290477752685547,0.5789473684210527,0.5
14,0.15985774993896484,0.0017910003662109375,0.5,0.38709677419354843
15,0.15024733543395996,0.0009999275207519531,0.5789473684210527,0.5
16,0.27433228492736816,0.0009288787841796875,0.5,0.4864864864864864
17,0.25307297706604004,0.0014462471008300781,0.5526315789473685,0.45161290322580644
18,0.2077958583831787,0.000881195068359375,0.47368421052631576,0.4444444444444445
19,0.2210249900817871,0.0009789466857910156,0.6052631578947368,0.4827586206896552
