,fit_time,score_time,test_male_acc,test_male_f1,test_female_acc,test_female_f1,test_accuracy,test_f1
0,1.0589287281036377,0.007149219512939453,0.7272727272727273,0.6666666666666666,0.5185185185185185,0.3157894736842105,0.5641025641025641,0.41379310344827586
1,1.046020746231079,0.0072040557861328125,0.7058823529411765,0.6666666666666667,0.55,0.1818181818181818,0.6153846153846154,0.4444444444444444
2,1.042891025543213,0.0065898895263671875,0.8823529411764706,0.9,0.7894736842105263,0.7142857142857143,0.8205128205128205,0.8108108108108109
3,1.043213129043579,0.007239818572998047,0.75,0.6666666666666666,0.6842105263157895,0.25,0.6666666666666666,0.43478260869565216
4,1.3253469467163086,0.00662684440612793,0.7647058823529411,0.5,0.65,0.46153846153846156,0.6923076923076923,0.45454545454545453
5,1.3052279949188232,0.006963014602661133,0.7777777777777778,0.7499999999999999,0.7777777777777778,0.5,0.7435897435897436,0.6153846153846154
6,1.1004300117492676,0.006796836853027344,1.0,1.0,0.7916666666666666,0.6153846153846154,0.8461538461538461,0.7857142857142857
7,1.1391079425811768,0.006986856460571289,0.8461538461538461,0.875,0.56,0.26666666666666666,0.6410256410256411,0.5625
8,1.1643478870391846,0.007295131683349609,0.631578947368421,0.5333333333333333,0.6,0.0,0.6153846153846154,0.34782608695652173
9,1.0279133319854736,0.0065898895263671875,0.8888888888888888,0.8,0.6842105263157895,0.5714285714285714,0.7692307692307693,0.64
10,1.2519268989562988,0.006854057312011719,0.631578947368421,0.5333333333333333,0.75,0.6153846153846153,0.6923076923076923,0.5714285714285715
11,1.1739521026611328,0.007083892822265625,0.7333333333333333,0.6666666666666666,0.7619047619047619,0.5454545454545454,0.6923076923076923,0.5384615384615384
12,0.9953699111938477,0.00668025016784668,0.8571428571428571,0.8421052631578948,0.7058823529411765,0.4444444444444444,0.7692307692307693,0.6896551724137931
13,1.023238182067871,0.006798744201660156,0.8181818181818182,0.7499999999999999,0.5384615384615384,0.25000000000000006,0.6052631578947368,0.39999999999999997
14,1.0429081916809082,0.0067958831787109375,0.7272727272727273,0.4,0.6296296296296297,0.5,0.6578947368421053,0.4800000000000001
15,1.0136492252349854,0.0066797733306884766,0.85,0.8235294117647058,0.7777777777777778,0.6666666666666666,0.8157894736842105,0.7586206896551724
16,1.0438990592956543,0.00663304328918457,0.75,0.7499999999999999,0.7,0.5,0.6842105263157895,0.6000000000000001
17,1.0801918506622314,0.0068149566650390625,0.6363636363636364,0.6,0.8076923076923077,0.5454545454545454,0.7631578947368421,0.6086956521739131
18,1.034897804260254,0.006952047348022461,0.6,0.4,0.5454545454545454,0.375,0.5789473684210527,0.38461538461538464
19,1.02030611038208,0.006796836853027344,0.8947368421052632,0.8571428571428571,0.8235294117647058,0.7272727272727273,0.8157894736842105,0.7407407407407406
