,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
225,0.2231478214263916,0.0011167610780573527,0.05067296028137207,0.0002316847873658609,10,ovr,3,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6569343065693432,0.7067669172932332,0.6122448979591837,0.7142857142857143,0.7058823529411763,0.67922283780973,0.03919600596970203,1
229,0.22624650001525878,0.002101002237624068,0.051549530029296874,0.0009611197183898278,10,ovr,3,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6569343065693432,0.7067669172932332,0.6122448979591837,0.7142857142857143,0.7058823529411763,0.67922283780973,0.03919600596970203,1
193,0.22472939491271973,0.002459289603942149,0.05164022445678711,0.0006621897276140351,10,ovo,3,auto,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6569343065693432,0.7067669172932332,0.6122448979591837,0.7142857142857143,0.7058823529411763,0.67922283780973,0.03919600596970203,1
197,0.22483649253845214,0.0016640286105491502,0.051170969009399415,0.0007744000255775918,10,ovo,3,scale,poly,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6569343065693432,0.7067669172932332,0.6122448979591837,0.7142857142857143,0.7058823529411763,0.67922283780973,0.03919600596970203,1
194,0.22509346008300782,0.001365417824660152,0.07000703811645508,0.0010161800412428,10,ovo,3,auto,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.7058823529411765,0.574468085106383,0.6236559139784946,0.6904761904761905,0.7865168539325842,0.6761998792869657,0.07261531992066796,5
218,0.2230839252471924,0.0013709638616889266,0.06965899467468262,0.0009992682699092577,10,ovo,20,auto,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 20, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.7058823529411765,0.574468085106383,0.6236559139784946,0.6904761904761905,0.7865168539325842,0.6761998792869657,0.07261531992066796,5
266,0.22295517921447755,0.0009513818414597956,0.0695645809173584,0.0011146214785101361,50,ovo,5,auto,rbf,"{'svc__C': 50, 'svc__decision_function_shape': 'ovo', 'svc__degree': 5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.7058823529411765,0.574468085106383,0.6236559139784946,0.6904761904761905,0.7865168539325842,0.6761998792869657,0.07261531992066796,5
262,0.22481484413146974,0.0013409180651449148,0.06959357261657714,0.0010980128071955916,50,ovo,3,scale,rbf,"{'svc__C': 50, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.7058823529411765,0.574468085106383,0.6236559139784946,0.6904761904761905,0.7865168539325842,0.6761998792869657,0.07261531992066796,5
258,0.22367477416992188,0.0013219411585530503,0.0697357177734375,0.0010709163367916986,50,ovo,3,auto,rbf,"{'svc__C': 50, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.7058823529411765,0.574468085106383,0.6236559139784946,0.6904761904761905,0.7865168539325842,0.6761998792869657,0.07261531992066796,5
254,0.22365541458129884,0.0009625751383763277,0.06934475898742676,0.0009812988965577853,10,ovr,20,scale,rbf,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 20, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.7058823529411765,0.574468085106383,0.6236559139784946,0.6904761904761905,0.7865168539325842,0.6761998792869657,0.07261531992066796,5
