,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,0.0012662887573242187,7.422218125616738e-05,0.005015707015991211,0.0001116797619767502,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.619718309859155,0.5986394557823129,0.593103448275862,0.6762589928057553,0.6984126984126985,0.6372265810271568,0.042449091315865155,1
2,0.0012103557586669923,7.31227255656104e-05,0.005896472930908203,7.519233641796175e-05,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.6099290780141844,0.6438356164383562,0.6197183098591549,0.6187050359712231,0.6825396825396826,0.6349455445645203,0.026327482759755334,2
3,0.0011629104614257813,6.492267054696257e-05,0.004788589477539062,4.187146157213941e-05,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.6099290780141844,0.6438356164383562,0.6197183098591549,0.6187050359712231,0.6825396825396826,0.6349455445645203,0.026327482759755334,2
0,0.0017268657684326172,0.0009256517495256495,0.04689412117004395,0.05820945507798873,3,uniform,"{'n_neighbors': 3, 'weights': 'uniform'}",0.6029411764705882,0.6428571428571429,0.6567164179104479,0.6376811594202899,0.6178861788617885,0.6316164151040515,0.018994388239035175,4
1,0.0012290477752685547,9.708737103475168e-05,0.005028772354125977,0.00017701922992131142,3,distance,"{'n_neighbors': 3, 'weights': 'distance'}",0.6029411764705882,0.6428571428571429,0.6567164179104479,0.6376811594202899,0.6178861788617885,0.6316164151040515,0.018994388239035175,4
6,0.0011171817779541016,8.132910303469699e-05,0.006040382385253906,0.00014037128667223857,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",0.6122448979591837,0.5972222222222222,0.6133333333333333,0.6666666666666667,0.6562499999999999,0.6291434240362811,0.027192802263993694,6
7,0.0012312889099121093,0.00010068025622047336,0.005379152297973633,0.0002161305330376381,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",0.6122448979591837,0.5972222222222222,0.6133333333333333,0.6666666666666667,0.6562499999999999,0.6291434240362811,0.027192802263993694,6
4,0.0011881351470947265,0.00010085760821276619,0.00590219497680664,0.00014021879668494835,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.6330935251798561,0.5942028985507246,0.5899280575539568,0.6717557251908396,0.6140350877192983,0.6206030588389351,0.029845165223291864,8
