,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.8347193241119385,0.07859989723082098,0.002317380905151367,0.0006547040411106427,relu,0.0001,"(100,)",invscaling,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'invscaling'}",0.6666666666666666,0.6274509803921569,0.5918367346938775,0.6875,0.7722772277227723,0.6691463218950947,0.061146158837881,10
9,0.7859328269958497,0.1298617680021152,0.002014827728271484,0.0006032413234114769,relu,0.0001,"(100,)",constant,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'constant'}",0.6666666666666666,0.6274509803921569,0.5918367346938775,0.6875,0.7722772277227723,0.6691463218950947,0.061146158837881,10
2,0.6451945304870605,0.022211622008867865,0.0017640113830566407,0.0002559879932551827,relu,1e-06,"(100,)",adaptive,"{'mlp__activation': 'relu', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate': 'adaptive'}",0.6666666666666666,0.6274509803921569,0.5918367346938775,0.6875,0.7722772277227723,0.6691463218950947,0.061146158837881,10
12,0.7051555633544921,0.17242588740012652,0.002878284454345703,0.002030550359675055,relu,0.0001,"(50,)",constant,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",0.6785714285714285,0.6153846153846153,0.5686274509803921,0.6666666666666666,0.7254901960784313,0.6509480715363068,0.054052005328534755,19
3,0.48911199569702146,0.034520228086641215,0.0025917530059814454,0.0016660704268813766,relu,1e-06,"(50,)",constant,"{'mlp__activation': 'relu', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",0.6785714285714285,0.6153846153846153,0.5686274509803921,0.6666666666666666,0.7254901960784313,0.6509480715363068,0.054052005328534755,19
13,0.5553749561309814,0.048650035615006255,0.002407407760620117,0.0009476032444449169,relu,0.0001,"(50,)",invscaling,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'invscaling'}",0.6785714285714285,0.6153846153846153,0.5686274509803921,0.6666666666666666,0.7254901960784313,0.6509480715363068,0.054052005328534755,19
5,0.6608253002166748,0.12359193433640525,0.0023326873779296875,0.0007572271510969836,relu,1e-06,"(50,)",adaptive,"{'mlp__activation': 'relu', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",0.6785714285714285,0.6153846153846153,0.5686274509803921,0.6666666666666666,0.7254901960784313,0.6509480715363068,0.054052005328534755,19
14,0.7246917247772217,0.23916211093751205,0.003978538513183594,0.0045648179663016165,relu,0.0001,"(50,)",adaptive,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'adaptive'}",0.6785714285714285,0.6153846153846153,0.5686274509803921,0.6666666666666666,0.7254901960784313,0.6509480715363068,0.054052005328534755,19
4,0.5156441688537597,0.03683979101454511,0.0018032550811767577,0.0004430306995772387,relu,1e-06,"(50,)",invscaling,"{'mlp__activation': 'relu', 'mlp__alpha': 1e-06, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'invscaling'}",0.6785714285714285,0.6153846153846153,0.5686274509803921,0.6666666666666666,0.7254901960784313,0.6509480715363068,0.054052005328534755,19
21,0.5140285015106201,0.03178373825157851,0.0020598411560058595,0.000494811017231126,relu,0.01,"(50,)",constant,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate': 'constant'}",0.6785714285714285,0.6153846153846153,0.54,0.6595744680851063,0.7184466019417476,0.6423954227965796,0.06099510007689814,25
