,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2922969818115234,0.019022633662461323,0.0036094188690185547,0.0004450007765541622,sqrt,2,50,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.6451612903225806,0.5714285714285714,0.45833333333333326,0.5238095238095238,0.6373626373626374,0.5672190712513293,0.07036095792888762,11
1,0.5885178565979003,0.03682210561905559,0.005715322494506836,0.00043174826502615166,sqrt,2,100,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.6382978723404256,0.5625000000000001,0.48936170212765956,0.5679012345679013,0.6593406593406594,0.5834802936753292,0.060499505931659474,10
2,0.8480013847351074,0.014394245103267346,0.007984256744384766,0.00020733368752894556,sqrt,2,150,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}",0.6458333333333334,0.6060606060606062,0.5161290322580646,0.5977011494252874,0.6458333333333334,0.602311490882125,0.04743633381313029,5
3,0.28529925346374513,0.008774001434679391,0.003627157211303711,0.0004468345982004482,sqrt,4,50,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 50}",0.6326530612244898,0.577319587628866,0.45161290322580644,0.5783132530120482,0.6813186813186813,0.5842434972819784,0.07673468581879048,8
4,0.5639299392700196,0.013054589626143117,0.0058688163757324215,0.0004656260671266221,sqrt,4,100,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.6595744680851063,0.6534653465346535,0.48421052631578954,0.6117647058823529,0.6304347826086957,0.6078899658853196,0.06413780356753684,3
5,0.8709553241729736,0.02861871927644602,0.00872817039489746,0.0006714146680053693,sqrt,4,150,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 150}",0.6526315789473685,0.6538461538461539,0.4489795918367347,0.6024096385542169,0.6593406593406594,0.6034415245050267,0.07993066348113052,4
6,0.13148722648620606,0.0032438589352131323,0.0037464141845703126,0.0005862257161373058,log2,2,50,"{'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}",0.6373626373626374,0.5217391304347826,0.4536082474226804,0.6117647058823529,0.6046511627906976,0.5658251767786302,0.06822275940945152,12
7,0.2640021800994873,0.009285159847469594,0.006554698944091797,0.0005849099555699584,log2,2,100,"{'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.6021505376344087,0.5979381443298969,0.49484536082474223,0.6190476190476191,0.6206896551724138,0.5869342634018161,0.046912003707518204,7
8,0.3924894332885742,0.0054128206275555115,0.008428955078125,0.0003648161278500777,log2,2,150,"{'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 150}",0.6458333333333334,0.6326530612244898,0.46808510638297873,0.6117647058823529,0.6206896551724138,0.5958051723991138,0.06487980156013216,6
9,0.13753776550292968,0.004778378994062854,0.003852176666259766,0.0006041332481107658,log2,4,50,"{'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 50}",0.5531914893617023,0.5742574257425743,0.5208333333333333,0.6206896551724138,0.6521739130434783,0.5842291633307004,0.046963092947247466,9
10,0.25697827339172363,0.0027078257298421933,0.006068706512451172,0.0005667557964444113,log2,4,100,"{'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}",0.6666666666666666,0.5940594059405941,0.48936170212765956,0.6511627906976745,0.6526315789473685,0.6107764288759926,0.06561649977891582,1
11,0.4075146198272705,0.013687801443974919,0.008894920349121094,0.0007169959039566706,log2,4,150,"{'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 150}",0.686868686868687,0.6262626262626263,0.48421052631578954,0.6222222222222222,0.6304347826086957,0.6099997688556041,0.06717622016706758,2
