strain_slug,strain_category,strain_popularity
alaskan-thunder-fuck,Sativa,0.1535116881540358
fire-haze,Sativa,0.0016415559191195
vanilla-kush,Indica,0.0329056091551918
walrus-kush,Hybrid,0.0
arjans-strawberry-haze,Sativa,0.0241543228099023
purple-diesel,Hybrid,0.0415713690576365
berkeley,Sativa,0.0004028019566242
pineapple,Hybrid,0.0453345325428115
sugar-shack,Hybrid,0.0024775079249905
purple-mr-nice,Indica,0.0033851917861507
neptune-og,Indica,0.0019367600928099
sage,Hybrid,0.0102438607188083
blue-satellite,Sativa,0.0030320503447267
amnesia-haze,Sativa,0.262563420616287
godberry,Indica,0.004491517708112
la-jack,Hybrid,0.0
caramelicious,Hybrid,0.0026761499857915
lavender,Indica,0.0353720814101379
black-dhalia,Hybrid,0.0033493258585061
blackberry-hashplant,Indica,0.0001903653082676
querkle,Indica,0.0084588410891102
mercury-og,Indica,0.0020636702983217
cherry-ak-47,Hybrid,0.0223775799327375
guido-kush,Indica,0.0
hawaiian-thunder-fuck,Hybrid,0.0001710528856897
afghan-big-bud,Indica,0.0009518265413382
starry-night,Hybrid,0.0022126518439225
blackberry-kush,Indica,0.1068418395358397
super-blue-dream,Hybrid,0.011402606073481
sour-grapes,Hybrid,0.0347871908977793
sweet-diesel,Sativa,0.004138376266688
chocolope,Sativa,0.0837717713078096
grapefruit-kush,Hybrid,0.0143684423979407
sour-apple,Hybrid,0.0447110171852971
cheese,Hybrid,0.1079150584476674
platinum-og,Indica,0.1618436190376344
king-louis,Indica,0.1575314309677455
green-door-kush,Hybrid,0.0004552213893356
k-train,Indica,0.0030596395198379
thaidal-wave,Hybrid,0.0012525485500509
lvpk,Hybrid,0.0043535718325557
apollo-11,Hybrid,0.0066351966142564
black-widow,Hybrid,0.0374854122236599
amethyst-bud,Hybrid,0.0007587023155594
durban-cheese,Hybrid,0.001167022107206
arabian-gold,Sativa,0.0006704169552034
broke-diesel,Hybrid,0.0004083197916465
flo,Hybrid,0.0292279721128618
atomic-northern-lights,Hybrid,0.0072311227966595
bc-sweet-tooth,Indica,0.0012580663850731
power-plant,Sativa,0.0407409348867878
satori,Hybrid,0.0023450798844565
very-berry-haze,Sativa,0.0040362963187763
c13-haze,Sativa,0.0006290331925365
waldo,Hybrid,0.0003062398437349
swiss-bliss,Hybrid,0.0016001721564526
cannadential,Hybrid,0.0008828536035601
cataract-kush,Hybrid,0.0081167353177307
black-jack,Hybrid,0.0770427714981749
connie-chung,Hybrid,0.0023147317918341
himalayan-gold,Hybrid,0.006538634501367
thai-tanic,Sativa,0.0008690590160044
alohaberry,Hybrid,0.0002841685036459
heavy-duty-fruity,Hybrid,0.0031451659626828
ingrid,Indica,0.004844659149536
pvc-og,Indica,0.0002620971635569
nevilles-haze,Sativa,0.0134359282791803
hashplant-haze,Sativa,0.0018153677223204
kushberry,Indica,0.0167355936224862
lemon-sativa,Sativa,0.0097996749995171
la-woman,Hybrid,0.0034872717340624
gods-gift,Indica,0.0990699689069996
tangerine-kush,Indica,0.0159768913069268
russian-rocket-fuel,Hybrid,0.0009297552012492
afgahni-bullrider,Indica,0.0045935976560236
pure-afghan,Indica,0.0016636272592085
red-dwarf,Indica,0.0014042890131627
anesthesia,Indica,0.002201616173878
strawberry-kush,Hybrid,0.0513296602944868
banana-kush,Hybrid,0.1499140597195284
aloha,Sativa,0.0032637994156612
el-jeffe,Indica,0.0338822659541302
blueberry-headband,Hybrid,0.0505350920512827
platinum-kush,Indica,0.122895980533078
pure-kush,Indica,0.0210477816923751
diablo,Indica,0.0296280151519749
orange-bud,Hybrid,0.0334518748223946
domino,Indica,0.0005269532446249
grand-hindu,Indica,0.0013325571578735
purple-goo,Indica,0.0045770441509569
double-d,Indica,0.0022181696789447
lemon-drop,Hybrid,0.0226203646737166
blue-bayou,Sativa,0.0006014440174253
champagne-kush,Hybrid,0.0204408198399276
superman-og,Indica,0.0146664054891422
wonderwoman-og,Indica,0.0013932533431182
root-beer-kush,Sativa,0.0049494980149588
purple-candy,Indica,0.0240550017795018
buddhas-sister,Indica,0.0070435164059029
triple-diesel,Sativa,0.0054185139918501
ak-48,Hybrid,0.0092147844871586
woody-kush,Indica,0.0042459740496218
el-nino,Hybrid,0.0013077269002734
recon,Indica,0.0225100079732716
grape-skunk,Indica,0.0029299703968151
pineapple-trainwreck,Hybrid,0.0115681411241485
banana-diesel,Hybrid,0.0033631204460617
j-27,Sativa,0.0011201205095168
huckleberry,Hybrid,0.0208215504564629
red-dragon,Hybrid,0.0359652486750298
key-lime-haze,Sativa,0.0059537439890084
sour-kush,Hybrid,0.0410333801429671
ultimate-trainwreck,Sativa,0.0031562016327273
lemon-kush,Hybrid,0.1113057680688405
lsd,Hybrid,0.0993513784931344
sour-dream,Hybrid,0.00669313388199
j1,Hybrid,0.0264331886740918
green-queen,Hybrid,0.006229635740121
fucking-incredible,Indica,0.0078987808343518
super-cat-piss,Sativa,0.0003724538640019
yumboldt,Indica,0.0069221240354134
blue-widow,Hybrid,0.0223968923553154
venice-og,Sativa,0.0025299273577019
cat-piss,Sativa,0.0415879225627033
kings-bread,Sativa,0.0019753849379657
early-girl,Indica,0.0041852778643771
pure-og,Indica,0.0032665583331723
bubba-og,Indica,0.0287203312908147
purple-dragon,Indica,0.0146001914688752
master-bubba,Indica,0.0044528928629562
exodus-cheese,Hybrid,0.0120537106061065
pre-98-bubba-kush,Indica,0.0401891513845627
g13-haze,Hybrid,0.0298570053053983
purple-wreck,Indica,0.0050515779628704
red-haze,Sativa,0.0068338386750574
grape-kush,Hybrid,0.0169397535183095
shoreline,Hybrid,0.0130634744151784
pluto-kush,Indica,0.0130165728174893
blueberry-kush,Indica,0.0637861728572177
silver-pearl,Hybrid,0.0049219088398475
space-queen,Hybrid,0.0452490060999666
killer-queen,Hybrid,0.0097610501543614
green-candy,Sativa,0.0043315004924667
purple-sour-diesel,Hybrid,0.009421703300493
hempstar,Sativa,0.0011090848394723
blue-crack,Hybrid,0.0052971216213606
mars-og,Indica,0.0136345703399814
cherry-bomb,Hybrid,0.0268525441357828
cannalope-haze,Sativa,0.0320255144691428
jupiter-og,Indica,0.007948441349552
agent-orange,Hybrid,0.0610989872013816
mango,Indica,0.0535836959010762
deep-purple,Indica,0.0040611265763764
harlequin,Sativa,0.1175354038089615
hippie-crippler,Hybrid,0.0285437605701027
yoda-og,Indica,0.0244412502310593
blue-champange,Hybrid,0.0021326432360998
green-crack-extreme,Sativa,0.0018181266398315
pineapple-diesel,Hybrid,0.0186613180452517
odyssey,Hybrid,0.0007669790680928
green-goblin,Sativa,0.0235390842049213
blue-goo,Hybrid,0.0064034475433219
grape-crush,Hybrid,0.0
nebula,Hybrid,0.0139711582763386
black-domina,Indica,0.0443468400738286
lemon-g,Sativa,0.0236190928127439
euphoria,Sativa,0.011557105454104
purple-passion,Indica,0.0143325764702961
skunk-1,Hybrid,0.0877032287611632
ice,Hybrid,0.0370770924320133
purple-sage,Hybrid,0.0006262742750254
big-wreck,Indica,0.0012746198901399
bordello,Hybrid,0.0080946639776417
blockhead,Hybrid,0.0036196997745964
purple-tonic,Indica,0.0003724538640019
blue-rhino,Hybrid,0.0083512433061763
golden-goat,Hybrid,0.099914197665404
blueberry-cheesecake,Hybrid,0.0287948220636151
berry-white,Indica,0.1133308135220065
a-train,Hybrid,0.0032720761681946
sour-flower,Sativa,0.0038183418353974
100-og,Hybrid,0.0102742088114307
bruce-banner,Hybrid,0.2369965320406885
sweet-kush,Hybrid,0.0073194081570155
pineapple-kush,Hybrid,0.0441123320853829
raspberry-kush,Indica,0.0205566943753948
chiesel,Hybrid,0.0179467584098703
church-og,Indica,0.008651965314889
sour-haze,Sativa,0.0069304007879468
white-queen,Hybrid,0.0020471167932549
taliban-poison,Indica,0.0004110787091576
dj-short-blueberry,Indica,0.0188627190235639
hawaiian-sativa,Sativa,0.0032886296732613
neptune-kush,Indica,0.0007035239653369
afgoo,Indica,0.0227307213741616
death-star,Indica,0.089811041739663
xj-13,Hybrid,0.06788592427875
white-berry,Indica,0.010412154686987
butterscotch,Indica,0.0057192360005628
medicine-man,Hybrid,0.0052778091987827
uk-cheese,Hybrid,0.0428266765251985
panama-red,Sativa,0.0211884864854425
afgooey,Indica,0.0124841017378421
permafrost,Hybrid,0.0094603281456487
matanuska-thunder-fuck,Sativa,0.0198697239151246
grapefruit,Sativa,0.0573606539738068
lifesaver,Hybrid,0.0045218658007344
shishkaberry,Indica,0.0341526398702205
tropicali,Hybrid,0.0065441523363892
lemon-haze,Sativa,0.2059366387004395
purple-buddha,Indica,0.0037741991552194
qleaner,Hybrid,0.0013353160753846
space-bomb,Hybrid,0.0389779865971787
the-flav,Hybrid,0.0021988572563668
the-void,Hybrid,0.0015698240638303
burmese-kush,Hybrid,0.0088175003655565
willie-nelson,Sativa,0.0148512529623876
power-kush,Indica,0.0104949222123207
707-headband,Hybrid,0.0235639144625214
vortex,Sativa,0.0103100747390753
papaya,Indica,0.0853774612992846
cherry-pie,Hybrid,0.2815144250002069
lemon-og,Hybrid,0.1097249083349656
blue-mystic,Indica,0.0113667401458363
lemon-diesel,Hybrid,0.0482231191769597
king-kush,Indica,0.0350161810512027
green-kush,Indica,0.0076146123307059
king-kong,Hybrid,0.0214340301439327
hawaiian-skunk,Hybrid,0.0022761069466784
darth-vader-og,Indica,0.0103624941717867
asian-fantasy,Sativa,0.0058378694535412
tiger-woods,Hybrid,0.0007200774704037
platinum-bubba-kush,Indica,0.094719155991955
laughing-buddha,Sativa,0.0391931821630465
purple-skunk,Hybrid,0.0108590993237893
strawberry-diesel,Hybrid,0.04290392621551
gravity,Indica,0.0019064120001876
corleone-kush,Indica,0.0041163049265989
purple-nepal,Indica,0.0016029310739638
cold-creek-kush,Hybrid,0.0208712109716631
banana-og,Hybrid,0.0945701744463542
blue-haze,Hybrid,0.0180019367600928
jah-kush,Hybrid,0.0027340872535252
maui-berry,Hybrid,0.0011752988597393
frostbite,Sativa,0.0055785312074954
blue-moonshine,Indica,0.0061523860498094
tahoe-og,Hybrid,0.1642328416022689
california-orange,Hybrid,0.0427632214224426
dutch-dragon,Sativa,0.0026126948830356
blackberry,Hybrid,0.0537933736319217
obama-kush,Indica,0.0533767770877418
armageddon,Hybrid,0.0029051401392149
maui,Sativa,0.0130165728174893
funky-monkey,Indica,0.0070904180035921
purple-voodoo,Hybrid,0.0074214881049271
sharks-breath,Hybrid,0.0082601990283092
northern-skunk,Hybrid,0.0025713111203688
alien-kush,Indica,0.0236659944104331
og-wreck,Hybrid,0.0045604906458901
sfv-og,Hybrid,0.2378159305414927
kosher-kush,Indica,0.1072474004099751
lavender-haze,Sativa,0.001409806848185
white-zombie,Hybrid,0.0025823467904133
sour-grape,Hybrid,0.0256855220285768
hong-kong,Hybrid,0.0028030601913033
afghanica,Hybrid,0.0009076838611602
blue-og,Hybrid,0.0128758680244219
allen-wrench,Sativa,0.0103128336565865
cheese-quake,Hybrid,0.0139601226062941
island-sweet-skunk,Sativa,0.0571068335627833
blueberry-diesel,Hybrid,0.024215018995147
purple-ice,Hybrid,0.0078436024841293
critical-mass,Indica,0.0670223830977677
lemon-wreck,Hybrid,0.0031313713751272
redwood-kush,Indica,0.0047232667790465
black-diesel,Sativa,0.006803490582435
uw,Indica,0.0033713971985951
waipi-o-hapa,Sativa,0.0001655350506675
boggle-gum,Hybrid,0.0013904944256071
citrus-kush,Hybrid,0.013604222247359
larry-og,Hybrid,0.0976932690689481
acapulco-gold,Sativa,0.0867872681474696
hashberry,Indica,0.0041935546169105
green-hornet,Hybrid,0.0021988572563668
east-coast-sour-diesel,Sativa,0.0367736115057895
moby-dick,Sativa,0.0580614190216326
boysenberry,Hybrid,0.0020471167932549
qrazy-train,Hybrid,0.004381161007667
brainstorm-haze,Sativa,0.0017022521043643
dynamite,Indica,0.0076256480007504
sour-chees,Hybrid,0.0064227599658997
lemon-thai,Sativa,0.0118716220503723
dairy-queen,Hybrid,0.0081939850080422
purple-arrow,Hybrid,0.0057413073406518
pandoras-box,Sativa,0.0025519986977909
fire-og,Hybrid,0.1426801780053578
goldwing,Sativa,0.0
bio-jesus,Hybrid,0.0319123988511867
violator-kush,Indica,0.0241350103873244
true-og,Indica,0.0779559731943574
pitbull,Indica,0.0034486468889066
double-diesel,Sativa,0.0040142249786873
diamond-og,Indica,0.0556418483643757
crimea-blue,Hybrid,0.0007862914906707
purple-dream,Hybrid,0.0213291912785099
trident,Hybrid,0.0027727120986809
master-yoda,Hybrid,0.0069883380556804
bruce-banner-3,Hybrid,0.0217623413277566
tangerine-dream,Hybrid,0.0842021624395452
bio-diesel,Hybrid,0.016092765842394
black-ice,Indica,0.0055205939397617
banana-candy,Indica,0.0025409630277464
wonder-haze,Hybrid,0.0002069188133344
alien-dawg,Indica,0.0381420345913077
grapefruit-diesel,Hybrid,0.009443774640582
kushage,Hybrid,0.0068338386750574
mad-dawg,Hybrid,0.0035865927644629
killing-fields,Sativa,0.0010428708192053
pure-power-plant,Hybrid,0.0121585494715293
earthquake,Hybrid,0.001277378807651
lime-green-skunk,Hybrid,0.0055619777024286
ice-cream,Hybrid,0.097516698348236
django,Sativa,0.0082519222757758
mango-dream,Sativa,0.0040362963187763
green-haze,Sativa,0.003412780961262
julius-caesar,Hybrid,0.0129200107045999
blue-diesel,Hybrid,0.0749818601173643
black-diamond,Indica,0.1223331613608084
kaboom,Sativa,0.002797542356281
santa-maria,Sativa,0.0051508989932709
lambo-og,Hybrid,0.007882227329285
cannatonic,Hybrid,0.0618494127644077
sierra-mist,Hybrid,0.0004165965441799
mazar-x-blueberry-og,Hybrid,0.0790402277762297
pink-pez,Hybrid,0.0007393898929815
frosty,Indica,0.02113330813522
god-bud,Indica,0.0417782878709709
hog,Indica,0.0099845224727625
super-kush,Indica,0.0059509850714973
nuggetry-og,Indica,0.0
green-ribbon,Hybrid,0.0091623650544472
belladonna,Hybrid,0.002576828955391
white-kush,Indica,0.0046073922435793
blue-hawaiian,Hybrid,0.0138718372459381
deathstar-og,Indica,0.0101417807708967
hawaiian-diesel,Sativa,0.0039149039482868
chocolate-chunk,Indica,0.0072725065593263
deadhead-og,Hybrid,0.0416293063253701
willys-wonder,Indica,0.0164652197063959
purple-berry,Indica,0.0099431387100957
malawi,Sativa,0.007948441349552
hawaiian-punch,Sativa,0.0302156645818446
purple-ak-47,Hybrid,0.0039121450307757
alien-og,Hybrid,0.1797351990972822
ocd,Sativa,0.0039893947210872
gsc,Hybrid,0.6438927222514974
trinity,Sativa,0.0100093527303627
blue-lights,Indica,0.0064862150686556
candy-jack,Sativa,0.0212464237531762
jacks-cleaner,Sativa,0.0046708473463351
blue-bastard,Indica,0.0007835325731595
strawberry-dream,Hybrid,0.0043673664201114
