,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,name,param_knn__n_neighbors,param_knn__weights,param_C,param_penalty,param_solver,param_lr__C,param_lr__penalty,param_lr__solver,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,param_max_features,param_min_samples_split,param_n_estimators,param_rf__max_features,param_rf__min_samples_split,param_rf__n_estimators,param_decision_function_shape,param_degree,param_gamma,param_kernel,param_svc__C,param_svc__decision_function_shape,param_svc__degree,param_svc__gamma,param_svc__kernel,model,norm_data,SS,Name,train_acc,val_acc,test_acc,train_f1,val_f1,test_f1,mean_val_test_acc,mean_val_test_f1
79,0.2231478214263916,0.0011167610780573,0.050672960281372,0.0002316847873658,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovr', 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.6569343065693432,0.7067669172932332,0.6122448979591837,0.7142857142857143,0.7058823529411763,0.67922283780973,0.039196005969702,1,svc_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovr,3.0,auto,poly,svc,False,True,SVC_SS,1.0,0.6935483870967742,1.0,1.0,0.6724137931034483,1.0,0.8467741935483871,0.8362068965517242
27,0.2554856300354003,0.0109704135612074,0.0032500743865966,0.000104660314275,,,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.6521739130434783,0.6352941176470589,0.5684210526315789,0.6352941176470589,0.6593406593406594,0.6301047720619669,0.0322506556417201,3,rf_param_tuning,,,,,,,,,,,,,,,,,sqrt,2.0,50.0,,,,,,,,,,,,,rf,False,False,RF,1.0,0.7258064516129032,1.0,1.0,0.6666666666666667,1.0,0.8629032258064516,0.8333333333333334
87,0.2935039520263672,0.0069330934264452,0.00493745803833,0.00057317154166,,,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.693069306930693,0.7474747474747474,0.7872340425531916,0.7415730337078651,0.8000000000000002,0.7538702261332995,0.0377623493649302,10,rf_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,sqrt,2.0,50.0,,,,,,,,,,rf,False,True,RF_SS,1.0,0.7258064516129032,1.0,1.0,0.6666666666666667,1.0,0.8629032258064516,0.8333333333333334
94,0.5857465267181396,0.0126049074500563,0.0072492122650146,0.0004569386358853,,,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.7,0.7450980392156863,0.8080808080808081,0.8210526315789474,0.8080808080808082,0.77646245739125,0.0465144234674478,1,rf_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,sqrt,2.0,100.0,,,,,,,,,,rf,False,True,RF_SS,1.0,0.7338709677419355,1.0,1.0,0.6666666666666666,1.0,0.8669354838709677,0.8333333333333333
36,0.5394867897033692,0.0077663600822257,0.0054767608642578,9.070608443187812e-05,,,"{'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.6000000000000001,0.6506024096385542,0.5652173913043477,0.627906976744186,0.7311827956989247,0.6349819146772026,0.0559276089152287,1,rf_param_tuning,,,,,,,,,,,,,,,,,sqrt,2.0,100.0,,,,,,,,,,,,,rf,False,False,RF,1.0,0.7338709677419355,1.0,1.0,0.6666666666666666,1.0,0.8669354838709677,0.8333333333333333
53,0.0008235454559326,0.000121848306838,0.0068982601165771,0.0024829275691921,15.0,distance,"{'n_neighbors': 15, 'weights': 'distance'}",0.6338028169014084,0.6382978723404256,0.6567164179104479,0.71875,0.6720000000000002,0.6639134214304564,0.0306171351440027,3,knn_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knn,False,False,KNN,1.0,0.5806451612903226,1.0,1.0,0.6486486486486487,1.0,0.7903225806451613,0.8243243243243243
91,0.5830676078796386,0.0276225369088967,0.0066698551177978,0.0003335542078296,,,"{'rf__max_features': 'sqrt', 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",0.712871287128713,0.7547169811320756,0.7755102040816325,0.8247422680412372,0.8118811881188118,0.775944385700494,0.0402534323277638,2,rf_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,sqrt,4.0,100.0,,,,,,,,,,rf,False,True,RF_SS,1.0,0.7016129032258065,1.0,1.0,0.6476190476190475,1.0,0.8508064516129032,0.8238095238095238
32,0.4543503761291504,0.0046338393512515,0.0054183959960937,1.011367003786916e-05,,,"{'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}",0.6000000000000001,0.6666666666666665,0.5333333333333333,0.6172839506172839,0.7472527472527474,0.6329073395740062,0.07135338873819,2,rf_param_tuning,,,,,,,,,,,,,,,,,sqrt,4.0,100.0,,,,,,,,,,,,,rf,False,False,RF,1.0,0.7016129032258065,1.0,1.0,0.6476190476190475,1.0,0.8508064516129032,0.8238095238095238
66,0.2031079292297363,0.0021747444997462,0.0402636051177978,0.0011282025951351,,,"{'C': 10, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6785714285714285,0.6792452830188679,0.5964912280701754,0.673076923076923,0.7307692307692308,0.6716308187013251,0.0430152373286662,5,svc_param_tuning,,,10.0,,,,,,,,,,,,,,,,,,,,ovo,3.0,scale,poly,,,,,,svc,False,False,SVC,0.9692556634304207,0.6935483870967742,0.9692556634304207,0.963531669865643,0.6833333333333333,0.963531669865643,0.8314020252635974,0.8234325015994881
82,0.2248364925384521,0.0016640286105491,0.0511709690093994,0.0007744000255775,,,"{'svc__C': 10, 'svc__decision_function_shape': 'ovo', 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.6569343065693432,0.7067669172932332,0.6122448979591837,0.7142857142857143,0.7058823529411763,0.67922283780973,0.039196005969702,1,svc_standard_scaler_param_tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,ovo,3.0,scale,poly,svc,False,True,SVC_SS,0.9692556634304207,0.6935483870967742,0.9692556634304207,0.963531669865643,0.6833333333333333,0.963531669865643,0.8314020252635974,0.8234325015994881
