,fit_time,score_time,test_mild_acc,test_mild_f1,test_severe_acc,test_severe_f1,test_accuracy,test_f1
0,0.10345602035522461,0.0017397403717041016,0.4074074074074074,0.33333333333333337,0.9166666666666666,0.9565217391304348,0.5641025641025641,0.6382978723404255
1,0.08159804344177246,0.0027561187744140625,0.44,0.2222222222222222,0.9285714285714286,0.962962962962963,0.6153846153846154,0.6666666666666667
2,0.07296895980834961,0.0016422271728515625,0.5333333333333333,0.5,0.7777777777777778,0.8750000000000001,0.5897435897435898,0.6363636363636364
3,0.07015109062194824,0.004822969436645508,0.3870967741935484,0.3870967741935483,0.875,0.9333333333333333,0.48717948717948717,0.5652173913043479
4,0.08056926727294922,0.0016529560089111328,0.5357142857142857,0.38095238095238093,1.0,1.0,0.6666666666666666,0.6976744186046512
5,0.10331892967224121,0.0017669200897216797,0.37037037037037035,0.32,0.75,0.8571428571428571,0.48717948717948717,0.5652173913043479
6,0.11569499969482422,0.0016798973083496094,0.45161290322580644,0.4137931034482759,0.875,0.9333333333333333,0.5384615384615384,0.5909090909090908
7,0.08825516700744629,0.002438783645629883,0.5,0.4827586206896552,0.7777777777777778,0.8750000000000001,0.5641025641025641,0.6222222222222222
8,0.0741569995880127,0.0016672611236572266,0.4074074074074074,0.33333333333333337,0.5833333333333334,0.7368421052631579,0.46153846153846156,0.5116279069767441
9,0.12186193466186523,0.0035789012908935547,0.6071428571428571,0.47619047619047616,0.7272727272727273,0.8421052631578948,0.6410256410256411,0.65
10,0.07742810249328613,0.001622915267944336,0.4074074074074074,0.33333333333333337,0.75,0.8571428571428571,0.5128205128205128,0.5777777777777777
11,0.07845377922058105,0.00246429443359375,0.5172413793103449,0.4615384615384615,0.9,0.9473684210526316,0.6153846153846154,0.6666666666666667
12,0.07733821868896484,0.0016567707061767578,0.27586206896551724,0.3636363636363636,0.8,0.888888888888889,0.41025641025641024,0.5490196078431373
13,0.06869006156921387,0.004565000534057617,0.38461538461538464,0.33333333333333337,0.6666666666666666,0.8,0.47368421052631576,0.5454545454545454
14,0.07982707023620605,0.001667022705078125,0.5333333333333333,0.46153846153846156,0.75,0.8571428571428571,0.5789473684210527,0.6
15,0.0747830867767334,0.001638174057006836,0.32,0.2608695652173913,1.0,1.0,0.5526315789473685,0.653061224489796
16,0.07261323928833008,0.0015878677368164062,0.34615384615384615,0.32,0.9166666666666666,0.9565217391304348,0.5263157894736842,0.625
17,0.0821380615234375,0.0016469955444335938,0.4642857142857143,0.39999999999999997,0.9,0.9473684210526316,0.5789473684210527,0.6363636363636364
18,0.07037496566772461,0.0015971660614013672,0.2916666666666667,0.1904761904761905,0.7142857142857143,0.8333333333333333,0.4473684210526316,0.5333333333333333
19,0.06824612617492676,0.0031516551971435547,0.46153846153846156,0.22222222222222224,0.6666666666666666,0.8,0.5263157894736842,0.5263157894736842
