,fit_time,score_time,test_accuracy,test_f1
0,0.1841142177581787,0.0009999275207519531,0.5641025641025641,0.6382978723404255
1,0.15173077583312988,0.0019609928131103516,0.6153846153846154,0.6666666666666667
2,0.15123510360717773,0.0013911724090576172,0.5897435897435898,0.6363636363636364
3,0.11435222625732422,0.0012547969818115234,0.48717948717948717,0.5652173913043479
4,0.13623595237731934,0.0010790824890136719,0.6666666666666666,0.6976744186046512
5,0.12836408615112305,0.0010380744934082031,0.48717948717948717,0.5652173913043479
6,0.1210780143737793,0.0009479522705078125,0.5384615384615384,0.5909090909090908
7,0.10932683944702148,0.0018868446350097656,0.5641025641025641,0.6222222222222222
8,0.18480396270751953,0.0010600090026855469,0.46153846153846156,0.5116279069767441
9,0.16524100303649902,0.0009407997131347656,0.6410256410256411,0.65
10,0.1469571590423584,0.0027251243591308594,0.5128205128205128,0.5777777777777777
11,0.14519596099853516,0.0008990764617919922,0.6153846153846154,0.6666666666666667
12,0.13465285301208496,0.0015270709991455078,0.41025641025641024,0.5490196078431373
13,0.1352388858795166,0.004598855972290039,0.47368421052631576,0.5454545454545454
14,0.12351417541503906,0.0010118484497070312,0.5789473684210527,0.6
15,0.15072202682495117,0.0017597675323486328,0.5526315789473685,0.653061224489796
16,0.10790705680847168,0.0009558200836181641,0.5263157894736842,0.625
17,0.09343886375427246,0.0009191036224365234,0.5789473684210527,0.6363636363636364
18,0.0913689136505127,0.003025054931640625,0.4473684210526316,0.5333333333333333
19,0.10508394241333008,0.0016999244689941406,0.5263157894736842,0.5263157894736842
