,fit_time,score_time,test_male_acc,test_male_f1,test_female_acc,test_female_f1,test_accuracy,test_f1
0,0.7662901878356934,0.006818056106567383,0.9090909090909091,0.9090909090909091,0.6296296296296297,0.4444444444444444,0.717948717948718,0.6451612903225806
1,0.743351936340332,0.006499052047729492,0.8235294117647058,0.8,0.7,0.25,0.7435897435897436,0.6153846153846154
2,0.7450330257415771,0.006742000579833984,0.9411764705882353,0.9523809523809523,0.7894736842105263,0.6666666666666666,0.8461538461538461,0.8333333333333334
3,0.7590579986572266,0.006869077682495117,0.875,0.8571428571428571,0.7368421052631579,0.5454545454545454,0.7435897435897436,0.6428571428571429
4,0.7834620475769043,0.0069348812103271484,0.7058823529411765,0.4444444444444444,0.75,0.7368421052631577,0.717948717948718,0.6206896551724138
5,0.7395691871643066,0.0064198970794677734,0.8888888888888888,0.888888888888889,0.8333333333333334,0.6666666666666665,0.8461538461538461,0.7999999999999999
6,0.7685749530792236,0.006669282913208008,0.8571428571428571,0.8333333333333333,0.75,0.5714285714285715,0.7692307692307693,0.6666666666666666
7,0.7506129741668701,0.006632328033447266,0.8461538461538461,0.875,0.6,0.16666666666666666,0.6923076923076923,0.6000000000000001
8,0.7413890361785889,0.006657123565673828,0.6842105263157895,0.625,0.65,0.0,0.6666666666666666,0.43478260869565216
9,0.756655216217041,0.006584882736206055,0.9444444444444444,0.9090909090909091,0.6842105263157895,0.5714285714285714,0.7948717948717948,0.6923076923076923
10,0.7506139278411865,0.006637096405029297,0.631578947368421,0.588235294117647,0.75,0.4444444444444444,0.6923076923076923,0.5384615384615384
11,0.7600631713867188,0.0066449642181396484,0.8,0.7999999999999999,0.8095238095238095,0.7142857142857143,0.7692307692307693,0.7272727272727272
12,0.7618939876556396,0.006812095642089844,0.9523809523809523,0.9473684210526316,0.6470588235294118,0.4,0.7948717948717948,0.7333333333333334
13,0.7406280040740967,0.006459712982177734,1.0,1.0,0.5,0.23529411764705885,0.6578947368421053,0.5185185185185185
14,0.7387540340423584,0.00639796257019043,0.9090909090909091,0.8,0.5925925925925926,0.42105263157894735,0.6842105263157895,0.5
15,0.7410409450531006,0.006602048873901367,1.0,1.0,0.7777777777777778,0.6666666666666666,0.8947368421052632,0.875
16,0.7441263198852539,0.006363868713378906,0.6875,0.6666666666666666,0.75,0.6666666666666666,0.6842105263157895,0.625
17,0.7590482234954834,0.006599903106689453,0.8181818181818182,0.8333333333333333,0.6538461538461539,0.3076923076923077,0.7105263157894737,0.5925925925925926
18,0.7324249744415283,0.006340742111206055,0.6,0.4,0.5454545454545454,0.28571428571428575,0.5526315789473685,0.32
19,0.7595739364624023,0.0065610408782958984,0.8421052631578947,0.7692307692307693,0.7647058823529411,0.6666666666666666,0.7631578947368421,0.6666666666666666
