,fit_time,score_time,test_mild_acc,test_mild_f1,test_severe_acc,test_severe_f1,test_accuracy,test_f1
0,0.46213197708129883,0.004743099212646484,0.9629629629629629,0.8571428571428571,0.9166666666666666,0.9565217391304348,0.9487179487179487,0.9333333333333333
1,0.473217248916626,0.0044918060302734375,0.96,0.8,0.7857142857142857,0.88,0.8974358974358975,0.8666666666666666
2,0.44536590576171875,0.004463911056518555,0.9666666666666667,0.9333333333333333,1.0,1.0,0.9743589743589743,0.9696969696969697
3,0.44193100929260254,0.0043048858642578125,0.9032258064516129,0.7692307692307693,0.75,0.8571428571428571,0.8717948717948718,0.8148148148148148
4,0.4405989646911621,0.004309177398681641,0.9285714285714286,0.8000000000000002,1.0,1.0,0.9487179487179487,0.9375
5,0.449556827545166,0.0045888423919677734,0.8888888888888888,0.6666666666666665,1.0,1.0,0.9230769230769231,0.9090909090909091
6,0.48192691802978516,0.00432896614074707,0.967741935483871,0.9333333333333333,0.875,0.9333333333333333,0.9487179487179487,0.9333333333333333
7,0.46115827560424805,0.004332780838012695,0.9,0.7999999999999999,1.0,1.0,0.9230769230769231,0.9090909090909091
8,0.4409799575805664,0.004256010055541992,1.0,1.0,0.9166666666666666,0.9565217391304348,0.9743589743589743,0.967741935483871
9,0.44350504875183105,0.00426173210144043,0.9642857142857143,0.888888888888889,1.0,1.0,0.9743589743589743,0.967741935483871
10,0.4553799629211426,0.004309177398681641,1.0,1.0,0.9166666666666666,0.9565217391304348,0.9743589743589743,0.967741935483871
11,0.4477808475494385,0.004253864288330078,0.896551724137931,0.6666666666666666,1.0,1.0,0.9230769230769231,0.896551724137931
12,0.5317461490631104,0.004267692565917969,0.9655172413793104,0.923076923076923,0.9,0.9473684210526316,0.9487179487179487,0.9375
13,0.449415922164917,0.004247188568115234,0.9615384615384616,0.888888888888889,0.9166666666666666,0.9565217391304348,0.9473684210526315,0.9375
14,0.44063782691955566,0.004228115081787109,1.0,1.0,1.0,1.0,1.0,1.0
15,0.44292378425598145,0.004221200942993164,1.0,1.0,1.0,1.0,1.0,1.0
16,0.44413185119628906,0.004230022430419922,0.8846153846153846,0.6666666666666665,1.0,1.0,0.9210526315789473,0.9090909090909091
17,0.5625901222229004,0.00427699089050293,0.9285714285714286,0.8,0.9,0.9473684210526316,0.9210526315789473,0.896551724137931
18,0.44152188301086426,0.004238128662109375,0.9166666666666666,0.6666666666666666,0.7857142857142857,0.88,0.868421052631579,0.8387096774193549
19,0.4412500858306885,0.004208087921142578,0.9615384615384616,0.8571428571428571,1.0,1.0,0.9736842105263158,0.967741935483871
