,Name,Artists,ID,Streams
0,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",6u7jPi22kF8CTQ3rb9DHE7,
1,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",3KkXRkHbMCARz0aVfEt68P,2616824723.0
2,Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,1722030665.0
3,bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,
4,Wow.,Post Malone,6MWtB6iiXyIwun0YzU6DFP,
5,Happier,"Marshmello, Bastille",2dpaYNEQHiRxtZbfNsse99,1840171716.0
6,7 rings,Ariana Grande,14msK75pk3pA33pzPVNtBF,1956631066.0
7,Talk (feat. Disclosure),"Khalid, Disclosure",6TqXcAFInzjp0bODyvrWEq,
8,SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,
9,Sucker,Jonas Brothers,4y3OI86AEP6PQoDE6olYhO,1223839436.0
10,High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,1372362254.0
11,"thank u, next",Ariana Grande,2rPE9A1vEgShuZxxzR2tZH,
12,Truth Hurts,Lizzo,5qmq61DAAOUaW8AUo8xKhh,906684913.0
13,Dancing With A Stranger (with Normani),"Sam Smith, Normani",6Qs4SXO9dwPj5GKvVOv8Ki,
14,Señorita,"Shawn Mendes, Camila Cabello",0TK2YIli7K1leLovkQiNik,2398627901.0
15,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",3HVWdVOQ0ZA45FuZGSfvns,2019.0
16,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",0d2iYfpKoM0QCKvcLCkBao,1465087313.0
17,Going Bad (feat. Drake),"Meek Mill, Drake",2IRZnDFmlqMuOrYOLnZZyc,1017973314.0
18,Shallow,"Lady Gaga, Bradley Cooper",2VxeLyX666F8uXCJ0dZF8B,2071118146.0
19,Better,Khalid,4T3fNx3CgwDRRYgmFCbD4J,1177852863.0
20,No Guidance (feat. Drake),"Chris Brown, Drake",7FEwp8BavoEVE3AnxJDchc,893723764.0
21,Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",6FRLCMO5TUHTexlWo8ym1W,
22,Sweet but Psycho,Ava Max,25sgk305KZfyuqVBQIahim,1425401825.0
23,Suge,DaBaby,2gwkD6igEhQbDQegRCcdoB,
24,MIDDLE CHILD,J. Cole,2JvzF1RMd7lE3KmFlsyZD8,1047021431.0
25,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",78QR3Wp35dqAhFEc2qAGjE,1185027214.0
26,Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,2735355999.0
27,Ransom,Lil Tecca,1kBbgxAUc4HQv7cgIayIDH,1119407215.0
28,If I Can't Have You,Shawn Mendes,6LsAAHotRLMOHfCsSfYCsz,
29,Goodbyes (Feat. Young Thug),"Post Malone, Young Thug",6vBdBCoOhKHiYDDOcorfNo,
30,ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",0FZ4Dmg8jJJAPJnvBIzD9z,943635521.0
31,Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,
32,Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,1528181930.0
33,Money In The Grave (Drake ft. Rick Ross),"Drake, Rick Ross",5ry2OE6R2zPQFDO85XkgRb,
34,Speechless,Dan + Shay,7q7jyVU0f0hnod8tsaUmxg,451529464.0
35,"break up with your girlfriend, i'm bored",Ariana Grande,4kV4N9D1iKVxx1KLvtTpjS,
36,Please Me,"Cardi B, Bruno Mars",0PG9fbaaHFHfre2gUVo7AN,
37,Money,Cardi B,2GGMabyHXnJmjY6CXhhB2e,
38,You Need To Calm Down,Taylor Swift,29fRTIKsJhLUJoldM89GZS,
39,Panini,Lil Nas X,6fTt0CH2t0mdeB2N9XFG5r,
40,Look Back at It,A Boogie Wit da Hoodie,3Ol2xnObFdKV9pmRD2t9x8,621026275.0
41,a lot,21 Savage,2t8yVaLvJ0RenpXUIAC52d,
