,Name,Artists,ID,Streams
42,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",4MsUsFfWseB9M2plGJyuIw,
43,MIA (feat. Drake),"Bad Bunny, Drake",116H0KvKr2Zl4RPuVBruDO,2018.0
44,Pop Out (feat. Lil Tjay),"Polo G, Lil Tjay",5AjINjwKyRvQJhSe2zpPHi,
45,Beautiful Crazy,Luke Combs,2rxQMGVafnNaRaXlRMWPde,
46,Thotiana,Blueface,3oh6SCCeLuXhFpEyepla6G,354369467.0
47,Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,2208604435.0
48,Mo Bamba,Sheck Wes,1xzBco0xcoJEDXktl7Jxrr,906171447.0
49,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",4evmHXcjt3bTUHD1cvny97,
50,Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black",0QIjsbm2fh1cJ45XO9eGqq,789834900.0
51,Whiskey Glasses,Morgan Wallen,6foY66mWZN0pSRjZ408c00,
52,God's Country,Blake Shelton,1dyxS3YzBbL0t8rEVwVQ1K,295861292.0
53,Be Alright,Dean Lewis,3EPXxR3ImUwfayaurPi3cm,1458900857.0
54,Pure Water (with Migos),"Mustard, Migos",63cd4JkwGgYJrbOizbfmsp,641629449.0
55,The Git Up,Blanco Brown,5dW1VZPcFqB4n0P08rGDgm,314327436.0
56,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",4w8niZpiMy6qz1mntFA5uM,2018.0
57,Close To Me (with Diplo) (feat. Swae Lee),"Ellie Goulding, Diplo, Swae Lee",5JEx7HbmvHQQswJCsoo9rA,
58,Envy Me,Calboy,05t7JMip6JrLuSrMV5yYjX,456385058.0
59,You Say,Lauren Daigle,6Up545NUflOiXo8cEraH49,452652019.0
60,"Hey Look Ma, I Made It",Panic! At The Disco,22oEJW6r2rMb9z4IntfyEa,
61,Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,2025290942.0
62,Beer Never Broke My Heart,Luke Combs,7nfmK6oHPDlAd68A11d7AN,
63,The London (feat. J. Cole & Travis Scott),"Young Thug, J. Cole, Travis Scott",7DcvwMAiqKJQD1rrdfxSDx,
64,Con Calma - Remix,"Daddy Yankee, Katy Perry, Snow",4au7FRcgZzChASRYu279xH,
65,Murder On My Mind,YNW Melly,7eBqSVxrzQZtK2mmgRG6lC,872565100.0
66,when the party's over,Billie Eilish,43zdsphuZLzwA9k4DJhU0I,
67,Act Up,City Girls,3A2yGHWIzmGEIolwonU69h,257755523.0
68,I Like It,"Cardi B, Bad Bunny, J Balvin",58q2HKrzhC3ozto2nDdN4z,1481045215.0
69,Trampoline,SHAED,0lsRatBUs9HNIZAmoGABzk,210498251.0
70,Leave Me Alone,Flipp Dinero,14mHfNsSHN0FbLftyjrV9g,595047081.0
71,breathin,Ariana Grande,4OafepJy2teCjYJbvFE60J,
72,bury a friend,Billie Eilish,4SSnFejRGlZikf02HLewEF,
73,Close Friends (Lil Baby & Gunna),Lil Baby,5nzhL67GpF9szXWg5y509A,
74,Baby Shark,Pinkfong,5ygDXis42ncn6kYG14lEVG,46926544.0
75,My Type,Saweetie,6nxcOGl5E292RUh7iR7KTW,325550415.0
76,Worth It,YK Osiris,4XiGKQqbmnMVxDzUj6j3f2,291016710.0
77,Only Human,Jonas Brothers,0DiDStADDVh3SvAsoJAFMk,
78,Knockin' Boots,Luke Bryan,6ERR6e7h6wCqGoz1TjiUJb,
79,Trip,Ella Mai,6CTWathupIiDs7U4InHnDA,420728911.0
80,Rumor,Lee Brice,56eGOeSsqdg3FLxdo83TwV,273652610.0
81,Swervin (feat. 6ix9ine),"A Boogie Wit da Hoodie, 6ix9ine",1wJRveJZLSb1rjhnUHQiv6,
82,How Do You Sleep?,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,
83,Baby (Lil Baby feat. DaBaby),"Quality Control, Lil Baby, DaBaby",5MPPttjfGap2C6j6eKcO6J,410631689.0
84,Look What God Gave Her,Thomas Rhett,2KqJC0koTBUyDlsMt5ok1V,209127306.0
85,Good as You,Kane Brown,1D07CwYBPqu8NbQTdu9C1g,
86,Clout (feat. Cardi B),"Offset, Cardi B",59ywHNwwchG4nZJMLyxSzd,
87,Love Lies (with Normani),"Khalid, Normani",45Egmo7icyopuzJN0oMEdk,2018.0
88,One Thing Right,"Marshmello, Kane Brown",4hPpVbbakQNv8YTHYaOJP4,
89,Cash Shit (feat. DaBaby),"Megan Thee Stallion, DaBaby",2rMAtCaTj16NptyVfEIeAC,
90,Tequila,Dan + Shay,42fw0rxRO2xbesF6mJfd4Y,527637172.0
91,Shotta Flow,NLE Choppa,4dAMdQ6g4kGmnc1MDHsg77,
92,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj",5N1o6d8zGcSZSeMFkOUQOk,2019.0
93,Talk You Out Of It,Florida Georgia Line,4qQwGRtGT7l6ckQtdPEFd4,
94,Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",4VUwkH455At9kENOfzTqmF,
95,Eyes On You,Chase Rice,5AnSllIrgGsCZzZJkVnApx,284974999.0
96,All To Myself,Dan + Shay,0uSGTaHms9ceAxb7L6VLrU,
97,boyfriend (with Social House),"Ariana Grande, Social House",0Ryd8975WihbObpp5cPW1t,
98,Walk Me Home,P!nk,7DHApOHsIFo7EyfieArYGE,
99,Robbery,Juice WRLD,6Hj9jySrnFppAI0sEMCZpJ,1133196627.0
