,Song Names,Song IDs,Streams
0,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,2382487727.0
1,As It Was,4LRPiXqCikLlN15c3yImP7,2163425722.0
2,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,2502328208.0
3,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,19.0
4,Shivers,50nfwKoDiSYg8zOCREWAm5,1191472451.0
5,First Class,0wHFktze2PHC5jDt3B17DC,641517074.0
6,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,777.0
7,Ghost,6I3mqTwhRpn34SLVafSH7G,1037769709.0
8,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,312366514.0
9,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,1462362009.0
10,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,464980916.0
11,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,647605961.0
12,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,
13,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,861767002.0
14,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,1125280603.0
15,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,1727794718.0
16,abcdefu,4fouWK6XVHhzl78KzQ1UjL,951745558.0
17,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,
18,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,
19,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,1270937977.0
20,Woman,6Uj1ctrBOjOas8xZXGqKk4,1237010462.0
21,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,
22,Running Up That Hill (A Deal With God) - 2018 Remaster,29d0nY7TzCoi22XBqDQkiP,
23,We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,409570536.0
24,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,637563796.0
25,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,515519732.0
26,You Proof,5uU1uuyaUIBOiiUSQG7Wl3,264724518.0
27,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK,697433191.0
28,Sunroof,4h4QlmocP3IuwYEj2j14p8,546188173.0
29,One Right Now (with The Weeknd),1nltpRhEiXikwDlVn4UADk,
30,good 4 u,4ZtFanR9U6ndgddUvNcjcG,1796995859.0
31,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,231069496.0
32,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,498882929.0
33,'Til You Can't,13rC4iKtfQocWIfzPOJxaT,154713383.0
34,Fancy Like,58UKC45GPNTflCN6nwCUeF,255351746.0
35,The Kind of Love We Make,28n8z9IQKyjMPxmvYMBqZa,205163329.0
36,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,870593137.0
37,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,310265398.0
38,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,345150627.0
39,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,
40,Smokin Out The Window,1oERlssLrpssCAY6Yqqs6c,
41,Levitating,39LLxExYz6ewLAcYrzQQyP,
42,In A Minute,3ihIZrJreMJPjQdNLrEXnP,
43,Moscow Mule,6Xom58OOXk2SoU711L2IXO,
44,You Right,0k4d5YPDr1r7FX77VdqWez,
45,She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46,132854830.0
46,Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,398566060.0
47,pushin P (feat. Young Thug),3XOalgusokruzA5ZBA2Qcb,288633519.0
48,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,235039291.0
49,I Hate U,5dXWFMwD7I7zXsInONVl0H,
50,Boyfriend,59CfNbkERJ3NoTXDvoURjj,448008620.0
51,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,873223049.0
52,Surface Pressure,760jhRscwGbIIe1m1IIQpU,
53,Fall In Love,5gVCfYmQRPy1QJifP8f5gg,125860697.0
54,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,671989950.0
55,Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp,377823067.0
56,Hrs & Hrs,3ncmoWTwJgx63LwMTyBCXf,161898914.0
57,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,
58,MAMIII,1ri9ZUkBJVFUdgwzCnfcYs,645311999.0
59,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,
60,AA,77oKig47u34qCCFWKMfu1e,58616014.0
61,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,273293111.0
62,PROVENZA,7dSZ6zGTQx66c2GF91xCrb,768958080.0
63,Essence (feat. Justin Bieber & Tems),1mSdbey7RstGLY2udgXv74,
64,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,
65,Bam Bam (feat. Ed Sheeran),3lDSWvR0FXWGXo7mhDUs3v,682304584.0
66,5 Foot 9,6AqwH2Y9FJwhUE2dCSkw1u,100421544.0
67,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,
68,Efecto,5Eax0qFko2dh7Rl2lYs3bx,
69,Rock and A Hard Place,4686eQ81DEswHa90bcdlC9,193725658.0
70,Doin' This,6TpyujRefwsflWFXbmjVpj,
71,Oh My God,3Kkjo3cT83cw09VJyrLNwX,
72,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,390601696.0
73,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,503383043.0
74,Fingers Crossed,3yMC1KsTwh0ceXdIe4QQAQ,318609302.0
75,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,
76,Party,4tYFy8ALRjIZvnvSLw5lxN,
77,Después de la Playa,1dm6z1fWB0cErMszU25dy2,
78,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,188809239.0
79,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,767135781.0
80,Broadway Girls (feat. Morgan Wallen),3DZ8dbKg4OTSSqGARvecYd,192441003.0
81,Take My Name,2afB4eV1KWBqLqFqME6PTh,82585098.0
82,What Happened To Virgil (feat. Gunna),7ohROa13QK43JBRqfCmz4P,
83,PUFFIN ON ZOOTIEZ,1qMMYpVatbRITKCfq1gasi,
84,Like I Love Country Music,5C9jQ8ikTOieveuORd8wlf,
85,Jingle Bell Rock,7vQbuQcyTflfCIOu3Uzzya,739101182.0
86,Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,990831510.0
87,Trouble With A Heartbreak,3HO30hRbkOLU6ZWERayfQO,
88,A Holly Jolly Christmas,77khP2fIVhSW23NwxrRluh,394925863.0
89,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,1493976054.0
90,She Likes It (feat. Jake Scott),6VVqPBFZIbcmv14zNfOc13,81964025.0
91,Never Say Never (with Lainey Wilson),03kCiUPjdAV9ur9ugm8PQT,41188684.0
92,Damn Strait,4jp9FimhP2bQ93vR0A5r7b,38680124.0
93,she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW,313805104.0
94,Last Night Lonely,3SeeaIXnrCfT88vHVCRWHl,
95,Flower Shops (feat. Morgan Wallen),2ccuOtUjIyx3tPcsnpeBzJ,127962063.0
96,TO THE MOON,5vUnjhBzRJJIAOJPde6zDx,231736026.0
97,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,1034179994.0
98,One Mississippi,5ekA7j4MPQa3NZbZQSpRfF,
99,Circles Around This Town,13G5xv1wUKvJYbK0wYmioN,
