,Ranking,Song Names,Artists,Song IDs,Streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,11,High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,1372362254.0,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,audio_features,1rqqCSm0Qe4I9rUvWncaom,spotify:track:1rqqCSm0Qe4I9rUvWncaom,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,190947,4
11,12,"thank u, next",Ariana Grande,2rPE9A1vEgShuZxxzR2tZH,,0.724,0.647,1,-5.642,1,0.0658,0.28,0.0,0.102,0.435,106.96,audio_features,2rPE9A1vEgShuZxxzR2tZH,spotify:track:2rPE9A1vEgShuZxxzR2tZH,https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH,https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH,207333,4
12,13,Truth Hurts,Lizzo,5qmq61DAAOUaW8AUo8xKhh,906684913.0,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,5qmq61DAAOUaW8AUo8xKhh,spotify:track:5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,173325,4
13,14,Dancing With A Stranger (with Normani),"Sam Smith, Normani",6Qs4SXO9dwPj5GKvVOv8Ki,,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,audio_features,6Qs4SXO9dwPj5GKvVOv8Ki,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,171030,4
14,15,Señorita,"Shawn Mendes, Camila Cabello",0TK2YIli7K1leLovkQiNik,2398627901.0,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,audio_features,0TK2YIli7K1leLovkQiNik,spotify:track:0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,190960,4
15,16,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",3HVWdVOQ0ZA45FuZGSfvns,2019.0,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,audio_features,3HVWdVOQ0ZA45FuZGSfvns,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,219947,4
16,17,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",0d2iYfpKoM0QCKvcLCkBao,1465087313.0,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,audio_features,0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,173800,4
17,18,Going Bad (feat. Drake),"Meek Mill, Drake",2IRZnDFmlqMuOrYOLnZZyc,1017973314.0,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,audio_features,2IRZnDFmlqMuOrYOLnZZyc,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,180522,4
18,19,Shallow,"Lady Gaga, Bradley Cooper",2VxeLyX666F8uXCJ0dZF8B,2071118146.0,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,audio_features,2VxeLyX666F8uXCJ0dZF8B,spotify:track:2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,215733,4
19,20,Better,Khalid,4T3fNx3CgwDRRYgmFCbD4J,1177852863.0,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,audio_features,4T3fNx3CgwDRRYgmFCbD4J,spotify:track:4T3fNx3CgwDRRYgmFCbD4J,https://api.spotify.com/v1/tracks/4T3fNx3CgwDRRYgmFCbD4J,https://api.spotify.com/v1/audio-analysis/4T3fNx3CgwDRRYgmFCbD4J,229413,4
20,21,No Guidance (feat. Drake),"Chris Brown, Drake",7FEwp8BavoEVE3AnxJDchc,893723764.0,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,audio_features,7FEwp8BavoEVE3AnxJDchc,spotify:track:7FEwp8BavoEVE3AnxJDchc,https://api.spotify.com/v1/tracks/7FEwp8BavoEVE3AnxJDchc,https://api.spotify.com/v1/audio-analysis/7FEwp8BavoEVE3AnxJDchc,260640,4
21,22,Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",6FRLCMO5TUHTexlWo8ym1W,,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,6FRLCMO5TUHTexlWo8ym1W,spotify:track:6FRLCMO5TUHTexlWo8ym1W,https://api.spotify.com/v1/tracks/6FRLCMO5TUHTexlWo8ym1W,https://api.spotify.com/v1/audio-analysis/6FRLCMO5TUHTexlWo8ym1W,235545,4
22,23,Sweet but Psycho,Ava Max,25sgk305KZfyuqVBQIahim,1425401825.0,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,audio_features,25sgk305KZfyuqVBQIahim,spotify:track:25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,187436,4
23,24,Suge,DaBaby,2gwkD6igEhQbDQegRCcdoB,,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,audio_features,2gwkD6igEhQbDQegRCcdoB,spotify:track:2gwkD6igEhQbDQegRCcdoB,https://api.spotify.com/v1/tracks/2gwkD6igEhQbDQegRCcdoB,https://api.spotify.com/v1/audio-analysis/2gwkD6igEhQbDQegRCcdoB,163320,4
24,25,MIDDLE CHILD,J. Cole,2JvzF1RMd7lE3KmFlsyZD8,1047021431.0,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,audio_features,2JvzF1RMd7lE3KmFlsyZD8,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,213594,4
25,26,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",78QR3Wp35dqAhFEc2qAGjE,1185027214.0,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,audio_features,78QR3Wp35dqAhFEc2qAGjE,spotify:track:78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,145543,4
26,27,Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,2735355999.0,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,audio_features,7qEHsqek33rTcFNT9PFqLf,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,182161,4
27,28,Ransom,Lil Tecca,1kBbgxAUc4HQv7cgIayIDH,1119407215.0,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,audio_features,1kBbgxAUc4HQv7cgIayIDH,spotify:track:1kBbgxAUc4HQv7cgIayIDH,https://api.spotify.com/v1/tracks/1kBbgxAUc4HQv7cgIayIDH,https://api.spotify.com/v1/audio-analysis/1kBbgxAUc4HQv7cgIayIDH,131280,4
28,29,If I Can't Have You,Shawn Mendes,6LsAAHotRLMOHfCsSfYCsz,,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,audio_features,6LsAAHotRLMOHfCsSfYCsz,spotify:track:6LsAAHotRLMOHfCsSfYCsz,https://api.spotify.com/v1/tracks/6LsAAHotRLMOHfCsSfYCsz,https://api.spotify.com/v1/audio-analysis/6LsAAHotRLMOHfCsSfYCsz,190800,4
29,30,Goodbyes (Feat. Young Thug),"Post Malone, Young Thug",6vBdBCoOhKHiYDDOcorfNo,,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,audio_features,6vBdBCoOhKHiYDDOcorfNo,spotify:track:6vBdBCoOhKHiYDDOcorfNo,https://api.spotify.com/v1/tracks/6vBdBCoOhKHiYDDOcorfNo,https://api.spotify.com/v1/audio-analysis/6vBdBCoOhKHiYDDOcorfNo,174960,4
30,31,ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",0FZ4Dmg8jJJAPJnvBIzD9z,943635521.0,0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,audio_features,0FZ4Dmg8jJJAPJnvBIzD9z,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,228760,4
31,32,Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
32,33,Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,1528181930.0,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,audio_features,2iUXsYOEPhVqEBwsqP70rE,spotify:track:2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,203418,4
33,34,Money In The Grave (Drake ft. Rick Ross),"Drake, Rick Ross",5ry2OE6R2zPQFDO85XkgRb,,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,audio_features,5ry2OE6R2zPQFDO85XkgRb,spotify:track:5ry2OE6R2zPQFDO85XkgRb,https://api.spotify.com/v1/tracks/5ry2OE6R2zPQFDO85XkgRb,https://api.spotify.com/v1/audio-analysis/5ry2OE6R2zPQFDO85XkgRb,205427,4
34,35,Speechless,Dan + Shay,7q7jyVU0f0hnod8tsaUmxg,451529464.0,0.631,0.44,1,-5.948,1,0.028,0.328,0.0,0.239,0.418,136.033,audio_features,7q7jyVU0f0hnod8tsaUmxg,spotify:track:7q7jyVU0f0hnod8tsaUmxg,https://api.spotify.com/v1/tracks/7q7jyVU0f0hnod8tsaUmxg,https://api.spotify.com/v1/audio-analysis/7q7jyVU0f0hnod8tsaUmxg,212745,4
35,36,"break up with your girlfriend, i'm bored",Ariana Grande,4kV4N9D1iKVxx1KLvtTpjS,,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,audio_features,4kV4N9D1iKVxx1KLvtTpjS,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,190440,4
36,37,Please Me,"Cardi B, Bruno Mars",0PG9fbaaHFHfre2gUVo7AN,,0.747,0.57,1,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,audio_features,0PG9fbaaHFHfre2gUVo7AN,spotify:track:0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,200890,4
37,38,Money,Cardi B,2GGMabyHXnJmjY6CXhhB2e,,0.95,0.59,8,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003,audio_features,2GGMabyHXnJmjY6CXhhB2e,spotify:track:2GGMabyHXnJmjY6CXhhB2e,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e,183527,4
38,39,You Need To Calm Down,Taylor Swift,29fRTIKsJhLUJoldM89GZS,,0.768,0.678,2,-5.604,1,0.0505,0.00838,0.0,0.0596,0.706,85.025,audio_features,29fRTIKsJhLUJoldM89GZS,spotify:track:29fRTIKsJhLUJoldM89GZS,https://api.spotify.com/v1/tracks/29fRTIKsJhLUJoldM89GZS,https://api.spotify.com/v1/audio-analysis/29fRTIKsJhLUJoldM89GZS,171387,4
39,40,Panini,Lil Nas X,6fTt0CH2t0mdeB2N9XFG5r,,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,audio_features,6fTt0CH2t0mdeB2N9XFG5r,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,https://api.spotify.com/v1/tracks/6fTt0CH2t0mdeB2N9XFG5r,https://api.spotify.com/v1/audio-analysis/6fTt0CH2t0mdeB2N9XFG5r,114893,4
40,41,Look Back at It,A Boogie Wit da Hoodie,3Ol2xnObFdKV9pmRD2t9x8,621026275.0,0.791,0.587,3,-5.075,0,0.0413,0.407,0.0,0.148,0.536,96.057,audio_features,3Ol2xnObFdKV9pmRD2t9x8,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,https://api.spotify.com/v1/tracks/3Ol2xnObFdKV9pmRD2t9x8,https://api.spotify.com/v1/audio-analysis/3Ol2xnObFdKV9pmRD2t9x8,179449,4
41,42,a lot,21 Savage,2t8yVaLvJ0RenpXUIAC52d,,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,audio_features,2t8yVaLvJ0RenpXUIAC52d,spotify:track:2t8yVaLvJ0RenpXUIAC52d,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d,288624,4
42,43,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",4MsUsFfWseB9M2plGJyuIw,,0.614,0.839,0,-4.143,1,0.0702,0.0291,0.0,0.112,0.657,182.123,audio_features,4MsUsFfWseB9M2plGJyuIw,spotify:track:4MsUsFfWseB9M2plGJyuIw,https://api.spotify.com/v1/tracks/4MsUsFfWseB9M2plGJyuIw,https://api.spotify.com/v1/audio-analysis/4MsUsFfWseB9M2plGJyuIw,193040,4
43,44,MIA (feat. Drake),"Bad Bunny, Drake",116H0KvKr2Zl4RPuVBruDO,2018.0,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,audio_features,116H0KvKr2Zl4RPuVBruDO,spotify:track:116H0KvKr2Zl4RPuVBruDO,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,210368,4
44,45,Pop Out (feat. Lil Tjay),"Polo G, Lil Tjay",5AjINjwKyRvQJhSe2zpPHi,,0.861,0.621,1,-7.106,1,0.362,0.121,0.0,0.0689,0.254,83.976,audio_features,5AjINjwKyRvQJhSe2zpPHi,spotify:track:5AjINjwKyRvQJhSe2zpPHi,https://api.spotify.com/v1/tracks/5AjINjwKyRvQJhSe2zpPHi,https://api.spotify.com/v1/audio-analysis/5AjINjwKyRvQJhSe2zpPHi,166640,4
45,46,Beautiful Crazy,Luke Combs,2rxQMGVafnNaRaXlRMWPde,,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,audio_features,2rxQMGVafnNaRaXlRMWPde,spotify:track:2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/tracks/2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/audio-analysis/2rxQMGVafnNaRaXlRMWPde,193200,4
46,47,Thotiana,Blueface,3oh6SCCeLuXhFpEyepla6G,354369467.0,0.906,0.382,10,-12.89,0,0.269,0.18,0.0,0.113,0.391,104.025,audio_features,3oh6SCCeLuXhFpEyepla6G,spotify:track:3oh6SCCeLuXhFpEyepla6G,https://api.spotify.com/v1/tracks/3oh6SCCeLuXhFpEyepla6G,https://api.spotify.com/v1/audio-analysis/3oh6SCCeLuXhFpEyepla6G,129264,4
47,48,Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,2208604435.0,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,audio_features,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,239836,4
48,49,Mo Bamba,Sheck Wes,1xzBco0xcoJEDXktl7Jxrr,906171447.0,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,audio_features,1xzBco0xcoJEDXktl7Jxrr,spotify:track:1xzBco0xcoJEDXktl7Jxrr,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,183907,4
49,50,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",4evmHXcjt3bTUHD1cvny97,,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,audio_features,4evmHXcjt3bTUHD1cvny97,spotify:track:4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/tracks/4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/audio-analysis/4evmHXcjt3bTUHD1cvny97,197867,4
50,51,Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black",0QIjsbm2fh1cJ45XO9eGqq,789834900.0,0.8,0.578,4,-5.144,0,0.0485,0.00381,0.0,0.359,0.367,143.01,audio_features,0QIjsbm2fh1cJ45XO9eGqq,spotify:track:0QIjsbm2fh1cJ45XO9eGqq,https://api.spotify.com/v1/tracks/0QIjsbm2fh1cJ45XO9eGqq,https://api.spotify.com/v1/audio-analysis/0QIjsbm2fh1cJ45XO9eGqq,204665,4
51,52,Whiskey Glasses,Morgan Wallen,6foY66mWZN0pSRjZ408c00,,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,audio_features,6foY66mWZN0pSRjZ408c00,spotify:track:6foY66mWZN0pSRjZ408c00,https://api.spotify.com/v1/tracks/6foY66mWZN0pSRjZ408c00,https://api.spotify.com/v1/audio-analysis/6foY66mWZN0pSRjZ408c00,234347,4
52,53,God's Country,Blake Shelton,1dyxS3YzBbL0t8rEVwVQ1K,295861292.0,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,audio_features,1dyxS3YzBbL0t8rEVwVQ1K,spotify:track:1dyxS3YzBbL0t8rEVwVQ1K,https://api.spotify.com/v1/tracks/1dyxS3YzBbL0t8rEVwVQ1K,https://api.spotify.com/v1/audio-analysis/1dyxS3YzBbL0t8rEVwVQ1K,205107,4
53,54,Be Alright,Dean Lewis,3EPXxR3ImUwfayaurPi3cm,1458900857.0,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4
54,55,Pure Water (with Migos),"Mustard, Migos",63cd4JkwGgYJrbOizbfmsp,641629449.0,0.68,0.559,0,-5.545,1,0.129,0.172,0.0,0.318,0.137,202.006,audio_features,63cd4JkwGgYJrbOizbfmsp,spotify:track:63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/audio-analysis/63cd4JkwGgYJrbOizbfmsp,194520,4
55,56,The Git Up,Blanco Brown,5dW1VZPcFqB4n0P08rGDgm,314327436.0,0.847,0.678,9,-8.635,1,0.109,0.0669,0.0,0.274,0.811,97.984,audio_features,5dW1VZPcFqB4n0P08rGDgm,spotify:track:5dW1VZPcFqB4n0P08rGDgm,https://api.spotify.com/v1/tracks/5dW1VZPcFqB4n0P08rGDgm,https://api.spotify.com/v1/audio-analysis/5dW1VZPcFqB4n0P08rGDgm,200594,4
56,57,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",4w8niZpiMy6qz1mntFA5uM,2018.0,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,audio_features,4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,212500,4
57,58,Close To Me (with Diplo) (feat. Swae Lee),"Ellie Goulding, Diplo, Swae Lee",5JEx7HbmvHQQswJCsoo9rA,,0.575,0.758,1,-5.029,0,0.0618,0.0954,0.0,0.394,0.493,144.107,audio_features,5JEx7HbmvHQQswJCsoo9rA,spotify:track:5JEx7HbmvHQQswJCsoo9rA,https://api.spotify.com/v1/tracks/5JEx7HbmvHQQswJCsoo9rA,https://api.spotify.com/v1/audio-analysis/5JEx7HbmvHQQswJCsoo9rA,182623,4
