,Song Names,Song IDs,Streams
0,Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,
1,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,2616824723.0
2,Without Me,5p7ujcrUXASCNwRaWNHR1C,1722030665.0
3,bad guy,2Fxmhks0bxGSBdJ92vM42m,
4,Wow.,6MWtB6iiXyIwun0YzU6DFP,
5,Happier,2dpaYNEQHiRxtZbfNsse99,1840171716.0
6,7 rings,14msK75pk3pA33pzPVNtBF,1956631066.0
7,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,
8,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,
9,Sucker,4y3OI86AEP6PQoDE6olYhO,1223839436.0
10,High Hopes,1rqqCSm0Qe4I9rUvWncaom,1372362254.0
11,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,
12,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,906684913.0
13,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,
14,Señorita,0TK2YIli7K1leLovkQiNik,2398627901.0
15,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019.0
16,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,1465087313.0
17,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,1017973314.0
18,Shallow,2VxeLyX666F8uXCJ0dZF8B,2071118146.0
19,Better,4T3fNx3CgwDRRYgmFCbD4J,1177852863.0
20,No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,893723764.0
21,Girls Like You (feat. Cardi B) - Cardi B Version,6FRLCMO5TUHTexlWo8ym1W,
22,Sweet but Psycho,25sgk305KZfyuqVBQIahim,1425401825.0
23,Suge,2gwkD6igEhQbDQegRCcdoB,
24,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,1047021431.0
25,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,1185027214.0
26,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2735355999.0
27,Ransom,1kBbgxAUc4HQv7cgIayIDH,1119407215.0
28,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,
29,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,
30,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,943635521.0
31,Better Now,7dt6x5M1jzdTEt8oCbisTK,
32,Youngblood,2iUXsYOEPhVqEBwsqP70rE,1528181930.0
33,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,
34,Speechless,7q7jyVU0f0hnod8tsaUmxg,451529464.0
35,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,
36,Please Me,0PG9fbaaHFHfre2gUVo7AN,
37,Money,2GGMabyHXnJmjY6CXhhB2e,
38,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,
39,Panini,6fTt0CH2t0mdeB2N9XFG5r,
40,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,621026275.0
41,a lot,2t8yVaLvJ0RenpXUIAC52d,
42,ME! (feat. Brendon Urie of Panic! At The Disco),4MsUsFfWseB9M2plGJyuIw,
43,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,2018.0
44,Pop Out (feat. Lil Tjay),5AjINjwKyRvQJhSe2zpPHi,
45,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,
46,Thotiana,3oh6SCCeLuXhFpEyepla6G,354369467.0
47,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2208604435.0
48,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,906171447.0
49,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,
50,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,789834900.0
51,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,
52,God's Country,1dyxS3YzBbL0t8rEVwVQ1K,295861292.0
53,Be Alright,3EPXxR3ImUwfayaurPi3cm,1458900857.0
54,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,641629449.0
55,The Git Up,5dW1VZPcFqB4n0P08rGDgm,314327436.0
56,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,2018.0
57,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,
58,Envy Me,05t7JMip6JrLuSrMV5yYjX,456385058.0
59,You Say,6Up545NUflOiXo8cEraH49,452652019.0
60,"Hey Look Ma, I Made It",22oEJW6r2rMb9z4IntfyEa,
61,Circles,21jGcNKet2qwijlDFuPiPb,2025290942.0
62,Beer Never Broke My Heart,7nfmK6oHPDlAd68A11d7AN,
63,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,
64,Con Calma - Remix,4au7FRcgZzChASRYu279xH,
65,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,872565100.0
66,when the party's over,43zdsphuZLzwA9k4DJhU0I,
67,Act Up,3A2yGHWIzmGEIolwonU69h,257755523.0
68,I Like It,58q2HKrzhC3ozto2nDdN4z,1481045215.0
69,Trampoline,0lsRatBUs9HNIZAmoGABzk,210498251.0
70,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,595047081.0
71,breathin,4OafepJy2teCjYJbvFE60J,
72,bury a friend,4SSnFejRGlZikf02HLewEF,
73,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,
74,Baby Shark,5ygDXis42ncn6kYG14lEVG,46926544.0
75,My Type,6nxcOGl5E292RUh7iR7KTW,325550415.0
76,Worth It,4XiGKQqbmnMVxDzUj6j3f2,291016710.0
77,Only Human,0DiDStADDVh3SvAsoJAFMk,
78,Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,
79,Trip,6CTWathupIiDs7U4InHnDA,420728911.0
80,Rumor,56eGOeSsqdg3FLxdo83TwV,273652610.0
81,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,
82,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,
83,Baby (Lil Baby feat. DaBaby),5MPPttjfGap2C6j6eKcO6J,410631689.0
84,Look What God Gave Her,2KqJC0koTBUyDlsMt5ok1V,209127306.0
85,Good as You,1D07CwYBPqu8NbQTdu9C1g,
86,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,
87,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,2018.0
88,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,
89,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,
90,Tequila,42fw0rxRO2xbesF6mJfd4Y,527637172.0
91,Shotta Flow,4dAMdQ6g4kGmnc1MDHsg77,
92,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,2019.0
93,Talk You Out Of It,4qQwGRtGT7l6ckQtdPEFd4,
94,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,
95,Eyes On You,5AnSllIrgGsCZzZJkVnApx,284974999.0
96,All To Myself,0uSGTaHms9ceAxb7L6VLrU,
97,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,
98,Walk Me Home,7DHApOHsIFo7EyfieArYGE,
99,Robbery,6Hj9jySrnFppAI0sEMCZpJ,1133196627.0
