,Song Names,Song IDs,Streams
0,Shape of You,7qiZfU4dY1lWllzX7mPBI3,3442631151.0
1,Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,1609787607.0
2,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,1615367900.0
3,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,1843054912.0
4,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,2097247557.0
5,Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,
6,Closer,7BKLCZ1jbUBVqRi2FVlTVw,2510636903.0
7,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,751827142.0
8,Believer,1NtIMM4N0cFa1dNzN15chl,2459980495.0
9,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,
10,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,2312007742.0
11,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,
12,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,
13,Mask Off,0VgkVdmE4gld66l8iyGjgx,
14,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,1639814788.0
15,24K Magic,6b8Be6ljOzmkOmFslEb23P,
16,Stay,6uBhi9gBXWjanegOb2Phh0,1115208829.0
17,Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,967365439.0
18,Black Beatles,6fujklziTHa8uoM5OQSfIo,874890044.0
19,Starboy,7MXVkk9YMctZqd1Srtv4MB,2349400780.0
20,Location,152lZdxL1OR0ZMW6KquMif,
21,Attention,4iLqG9SeJSnt0cSPICSjxv,1495184472.0
22,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,1617424046.0
23,Bodak Yellow,2771LMNxwf62FTAdpJMQfM,
24,Redbone,3kxfsdsCpFgN412fpnW85Y,1339876839.0
25,I Don’t Wanna Live Forever (Fifty Shades Darker),2y5aJvzXhHPA94U5GFAcXe,1374091071.0
26,It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,
27,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,885984356.0
28,Issues,7vu0JkJh0ldukEYbTVcqd0,1092862297.0
29,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,1197386604.0
30,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,1230584677.0
31,Slow Hands,27vTihlWXiz9f9lJM3XGVU,825475090.0
32,Love On The Brain,2aksifNn5ph8igDOkPBA02,1116128972.0
33,I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,
34,Bounce Back,0SGkqnVQo9KPytSri1H6cF,
35,Strip That Down,4Ro98RCK90oHqqSZUnTFq5,
36,Fake Love,343YBumqHu19cGoGARUTsd,
37,Don't Wanna Know (feat. Kendrick Lamar),3PGdPUMdUg7a3Tgr5gkfKK,
38,Look What You Made Me Do,2VjtYe7gpfUi2OkGxR2O2z,
39,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,
40,Bad Things (with Camila Cabello),1PSBzsahR2AKwLJgx8ehBj,
41,Paris,72jbDTw1piOOj770jWNeaG,1060152202.0
42,Side To Side,1pKeFVVUOPjFsOABub0OaV,
43,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,1338026531.0
44,Feel It Still,7FESgYLcOufHqKlwrvJN60,1106911134.0
45,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,1774570700.0
46,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0,1065847790.0
47,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,
48,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,1514866271.0
49,Mi Gente (feat. Beyoncé),7fwXWKdDNI5IutOMc5OKYw,
50,Thunder,5VnDkUNyX6u5Sk0yZiP8XB,
51,T-Shirt,7KOlJ92bu51cltsD9KU5I7,
52,Rake It Up (feat. Nicki Minaj),4knL4iPxPOZjQzTUlELGSY,342650648.0
53,Mercy,0AS63m1wHv9n4VVRizK6Hc,
54,Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4,
55,rockstar,1OmcAT5Y8eg5bUPv9qJT4R,
56,In Case You Didn't Know,10M2Ex445zw585Ducldzkw,471400750.0
57,Heathens,6i0V12jOa3mr6uu4WYhUBr,1510572729.0
58,Now Or Never,7i2DJ88J7jQ8K7zqFX2fW8,
59,Caroline,5hTpBe8h35rJ67eAWHQsJx,701052460.0
60,Rolex,0pSBuHjILhNEo55xK1zrRt,449828384.0
61,DNA.,6HZILIRieu8S0iqY8kIKhj,
62,Juju on That Beat (TZ Anthem),1lItf5ZXJc1by9SbPeljFd,230428209.0
63,Swang,6mapJIPnQ23RTAevUoE0DL,569271267.0
64,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,
65,LOYALTY. FEAT. RIHANNA.,0Omhxcy38tjNxqVZshdfpf,
66,Praying,79NlESqzFSW0hdBWgls4FX,
67,goosebumps,6gBFPUFcJLzWGx4lenP6h2,1940228514.0
68,Cold (feat. Future),50QWA5PR501dIe2KkJkHRR,
69,Broccoli (feat. Lil Yachty),7yyRTcZmCiyzzJlNzGC9Ol,
70,Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,
71,What Ifs (feat. Lauren Alaina),7zVCrzzEJU7u24sbJPXA5W,
72,Chained To The Rhythm,5tP2TrJDgXXxAHZwcOknOI,
73,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,
74,All Time Low,0SuLAslEMFZAXf0SwY7syi,673064088.0
75,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,
76,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,1701844369.0
77,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,
78,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,649542192.0
79,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,
80,Drowning (feat. Kodak Black),6Q2FftbUG530lCtBI74bMH,746967784.0
81,Starving,4Ce37cRWvM1vIGGynKcs22,1103565615.0
82,Both (feat. Drake),5tFep7dXGd7vEJ668wTPux,
83,What About Us,31MkGwj0SWgZaTvEt5Hgxv,
84,Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,
85,Slippery (feat. Gucci Mane),6p8NuHm8uCGnn2Dtbtf7zE,
86,Sign of the Times,5ELRkzdzz0HvGpMDlfZHkV,
87,Water Under The Bridge,7xfzwPasShmaPL7gB7va3J,
88,Malibu,1UZOjK1BwmwWU14Erba9CZ,
89,Down,5eCkuGPZNl4mISFNPgr3Dd,212694908.0
90,No Promises (feat. Demi Lovato),5lNuqFVMca4vPupY10cH0J,646312059.0
91,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,1758605448.0
92,I Get the Bag (feat. Migos),1XRgIKC5TPwo7nWGyKqgG0,498474276.0
93,Small Town Boy,2YMhrXQYKkm4kXLcXKKd5z,299205044.0
94,Everyday We Lit (feat. PnB Rock),4PzovBqgnSHKd8opsP7IVM,196590839.0
95,Havana (feat. Young Thug),0ofbQMrRDsUaVKq2mGLEAb,1876805734.0
96,What Lovers Do (feat. SZA),4nYsmWkuTaowTMy4gskmBw,
97,do re mi,3Q3myFA7q4Op95DOpHplaY,
98,Look At Me!,7floNISpH8VF4z4459Qo18,
99,The Fighter,5OUSPcqhYTOzpbXzoEvKim,
